"Project","Text","SDG","Target"
"P086592","agricultural development program design implementation address issues emphasis smallholders incorporate adopt relevant lessons recently closed agricultural postprivatization assistance project appap agricultural competitiveness project acp","SDG 2","SDG 2.b"
"P086592","agricultural sector declined severely contributes percent gdp employing onethird economically active population providing income majority rural people comprise percent countrys poor","SDG 2","SDG 2.b"
"P086592","aim enable rcc gain insight performance irrigated farms enabling informed crop production decisions monitoring institutional organizationalchange","SDG 16","SDG 16.7"
"P086592","analysis petition government targeted subsidies measures facilitate sustainable mom id systems","SDG 12","SDG 12.c"
"P086592","analysis include consequences failure maintain system lost production income system deteriorates due inadequate maintenance","SDG 16","SDG 16.10"
"P086592","basic organizational structure sustained minimal operating costs inadequate expenditure system maintenance","SDG 16","SDG 16.10"
"P088799","rehabilitation le restoration natural productive capacity farming systems environmental degradation productivity priority","SDG 16","SDG 16.10"
"P088799","republic paraguay institutional governance review breaking tradition overcoming institutional impediments improve public sector performance","SDG 17","SDG 17.17"
"P088799","research trials marketing studies benefit primary project beneficiaries policy studies special decentralized local department municipal national government local institutions civil society organizations","SDG 9","SDG 9.5"
"P088799","review communities planning including investments income generation land titling adaptive research implementing rural home improvements food security improved strategy fewer sustainable agriculture land natural resources management practices practices tested rural development municipal investment proposals developed validated py activities farm implemented communities support improved community micro management natural resources improvement catchment levels existing rural roads establishment nurseries construction technical support facilities recycling pesticide containers rural extension farms diversify commercial activities research institutions producers organized purposes marketing percent targeted microcatchments smallscale farmers indigenous communities assisted rural extensionists project including extensionists microcatchment municipal levels extensionists indigenous communities women beneficiaries directly trained project including smallscale farmers indigenous communities mediumscale producers hectares community promoters indigenous community promoters","SDG 11","SDG 11.a"
"P088799","review internal control procedures bank training annuallythrough develop capacity pmu staff staff supervision mission updatethep staff specific regulations practices improved seminar control risk governance seminars agreed seminars raise awareness project governance issues review mag annually integrated project contribute reintegration capacity development site supervision outsourced functions fmr review biannually fmr review fmr information consistency submitted bank audit review annually audit review audit report report submitted bank concurrent audit biannually concurrent review concurrent audit report review audit report followup previous fdrs submitted recommendations bank review pre concurrent audit ensure preconditionsfor conditions fdrs project review implementation fdrs disbursement vear sunervision visit fulfilled annex procurement arrangements paraguay sustainable agriculture rural development project","SDG 13","SDG 13.3"
"P088799","risk assessment mitigation","SDG 13","SDG 13.a"
"P088799","rural extension py adjust efforts extension py fewer adaptive research elaboration execution participatory diagnostic microcatchmentdevelopment plans farm activities micro outcome investment proposals community investment catchment development smallscale farmers proposals","SDG 11","SDG 11.a"
"P088799","rural extension including training beneficiaries adaptive research activities supported component primarily benefit smallscale farmers indigenous communities","SDG 9","SDG 9.5"
"P088799","rural poverty natural resources degradation","SDG 1","SDG 1.1"
"P088799","rural school teachers students producer civil society organizations addition benefit environmental education activities","SDG 9","SDG 9.b"
"P088799","rural sector governance issues extrapolated analysis implementation completion report icr paraguaynatural resources management project parn lessons learned rural operations","SDG 12","SDG 12.2"
"P088799","safeguard policies safeguard policies triggered project environmental assessment opbpgp","SDG 17","SDG 17.13"
"P088799","forest resources renewable","SDG 15","SDG 15.b"
"P088799","broad access project information participatory monitoring section","SDG 16","SDG 16.10"
"P088799","section fiduciary risk management measures","SDG 17","SDG 17.19"
"P088799","annex details triggering safeguard policies","SDG 17","SDG 17.13"
"P088799","annex detailed information","SDG 16","SDG 16.10"
"P088799","annex information indigenous population project","SDG 16","SDG 16.10"
"P088799","annex information","SDG 16","SDG 16.10"
"P088799","section public accountability details project decentralized structures","SDG 17","SDG 17.17"
"P088799","selection consultants individual consultants hired project include trainers extension agents social organization technicians agricultural institutional environmental experts project management staff","SDG 2","SDG 2.a"
"P088799","senacsa vice chemical residues analysis laboratory ministry livestock potential current performance production established potential functioning improvement animal health control practices efficiently ensure internal movements control posts border livestock national standards entries control posts cool chain involving management animal health vaccines functioning adequately country complete vaccination coverage smallscale farmers livestock units micro catchments adequate training program senacsa staff extended country","SDG 12","SDG 12.4"
"P088799","ecosystems paraguay considered global regional importance conservation including cerrado misiones grasslands pantanal humid chaco wetlands increasingly threatened dry chaco forests","SDG 15","SDG 15.1"
"P088799","similar nonindigenous population targeted population live conditions extreme poverty severe degradation natural resources","SDG 1","SDG 1.1"
"P088799","similar nonindigenous population live conditions extreme poverty severe degradation natural resources lack legal title lands","SDG 1","SDG 1.1"
"P088799","simple efficient technological practices lime lower soil acidity basic fertilizing contour cropping productive environmental impacts","SDG 15","SDG 15.3"
"P088799","economic performance maintained improvement ithe economy returned positive growth rates real gdp growing estimated iithe exchange rate remained stable inflation held single digits iii public sector enjoyed primary surpluses","SDG 17","SDG 17.17"
"P088799","mid current government sought recovery confidence institutions means sustained fight corruption specifically participation civil society formulation public policy control public expenditures","SDG 17","SDG 17.17"
"P088799","completion flow funds managed designated account mag improved fm capacity experience implementing projects idb gtz","SDG 17","SDG 17.19"
"P088799","sixtyfive cent total exports correspond categories soy cotton unprocessed degree","SDG 17","SDG 17.11"
"P088799","sixtyfive percent total exports correspond categories soy cotton unprocessed degree processing","SDG 17","SDG 17.11"
"P088799","amounts veterinary antiparasitic chemicals vaccinations procured activities related strengthening animal health","SDG 3","SDG 3.b"
"P088799","smallscale agriculture issues","SDG 2","SDG 2.b"
"P088799","smallscale farmer households possess hectares land microcatchments project implemented","SDG 9","SDG 9.3"
"P088799","smallscale farmers indigenous communities local stakeholders trained planning implementing management plans investment proposals sustainable development supported rural extension research","SDG 11","SDG 11.a"
"P088799","smallscale farming models constructed basis criteria household income poverty lineprevailing production patterns crop yields indicative soil degradation","SDG 15","SDG 15.3"
"P088799","paraguayans inhabit rural paraguay rural south american countries","SDG 17","SDG 17.6"
"P088799","expected direct positive impacts project include improved soil fertility iiimproved water quality surface ground water iiigreater biodiversity riparian zones","SDG 15","SDG 15.9"
"P088799","lessons learned parns indigenous component importance iappropriate technical assistance indigenous communities staff trained cultures sensitivity respect unique cultural aspects iirespecting processes indigenous development adapting project demands arise communities imposing preestablished formulas paces modalities foreign communities iiiworking indigenous organizations respecting decisionmaking mechanisms ethnic promoting active participation organizations project implementation iv actively involving communities development implementation community development plans","SDG 11","SDG 11.a"
"P088799","major practices contribute degradation include ithe expansion agriculture frontier colonization lands ii slashandburn agriculture iii extensive grazing iv practice monocultivation cotton recently soy","SDG 2","SDG 2.a"
"P088799","major practices contribute degradation include expansion agriculture frontier colonization lands slashandburn agriculture extensive grazing practice monocultivation cotton recently soy","SDG 2","SDG 2.a"
"P088799","objectives agreement facilitate knowledge understanding project clarify institutional responsibilities commitments project execution define management mechanisms","SDG 16","SDG 16.6"
"P088799","principal demands smallscale farmers stakeholders refer development comprehensive socioeconomic model includes smallscale farmer organizations reinforces sustainable production smallholdings income generation iithe development comprehensive technical assistance intervention model includes training active participation beneficiaries technical assistance agricultural production recovery conservation natural resources communities farms iii establishment conflict resolution strategies regularization titling land iv establish mechanisms participation social control project strengthening training community organizations neighborhood associations","SDG 1","SDG 1.3"
"P088799","organizations capacity management participation decentralization local development processes","SDG 17","SDG 17.19"
"P088799","special care ensure committees studying icpds sufficient indigenous representation","SDG 3","SDG 3.2"
"P088799","specific activities include identification adaptation validation technologies practices marketing agroindustries rural enterprise support","SDG 17","SDG 17.8"
"P088799","specific capacity building activities mag staff administration finance staff designed implemented project life","SDG 17","SDG 17.19"
"P088799","specific investment loan","SDG 17","SDG 17.5"
"P088799","specific objectives system track project objectives outputs inputs project implementation provide basis informed effective projectrelated decisionmaking promote accountability resource objectives provide receive feedback stakeholders generate inputs dissemination project results lessons learned","SDG 16","SDG 16.10"
"P088799","specific objectives system track project objectives outputs inputs project implementation provide basis informed effective projectrelated decisionmaking iipromote accountability resource objectives iii provide receive feedback stakeholders iv generate inputs dissemination project results lessons learned","SDG 16","SDG 16.10"
"P088799","specific objectives system include imonitoring project implementation relation objectives baseline situation inputs outputs ii providing receiving feedback stakeholders iii generating inputs dissemination project results lessons learned","SDG 16","SDG 16.10"
"P088799","specific objectives system include imonitoring project implementation relation objectives baseline situation inputs outputs iiproviding receiving feedback stakeholders iii generating inputs dissemination project results lessons learned","SDG 16","SDG 16.10"
"P088799","specific objectives system include tracking project objectives outputs inputs facilitate project implementation providing basis informed effective proj ectrelated decisionmaking promoting accountability resource objectives plans iiproviding receiving feedback stakeholders generating inputs dissemination project results lessons learned","SDG 16","SDG 16.10"
"P088799","specific training activities subcomponent indigenous communities planning participation diagnostic indigenous community development plans subcomponent","SDG 11","SDG 11.a"
"P088799","specifically project provide seed capital technical assistance information overcome barriers adoption sustainable productive land practices promote adoption decentralized approach sustainable rural development focus local decisionmaking","SDG 15","SDG 15.3"
"P088799","stakeholders include smallscale farmers local community organizations indigenous communities indigenous associations ias rural laborers rural school teachers students technical staff managers local governments main government agencies implementing projects related poverty reduction natural resources management sustainable rural development producer civil society associations staff magdeag relevant directorates","SDG 1","SDG 1.1"
"P088799","strengthening senacsa health improvement sigor system improved coverage incorporating units reaching local units line information outcome information load average animal tracking registering delay days current figures information system load month registering delay information sigor improved livestock movements week covering current delay month livestock units registration range livestock covering compared current figures units laboratories facilities safety laboratory providing quality safety biotery beef safe pathogen agents sample processing vaccines chemical residues analysis analysis functioning biotery laboratory producing quality adequate efficiently field quantities biological inputs safety operations laboratory demanding laboratories","SDG 3","SDG 3.8"
"P088799","strengthening vmg provision quality genetic material cattle sheep milk cows goats livestock units microcatchments smallscale farmers indigenous communities microcatchments trained animal health management genetics artificial insemination livestock pasture management improvement quality pasture availability microcatchments provision improved pastures seeds sow livestock unit promotion alternative enterprises poultry pig honey production smallscale farmers diversify risks","SDG 9","SDG 9.3"
"P088799","studies research details studies timetable","SDG 9","SDG 9.5"
"P088799","studies research","SDG 9","SDG 9.5"
"P088799","subproject grant applications prepared project beneficiaries support project extensionists microcatchments indigenous communities revised initially microcatchment development committees mdcs involving indigenous communities indigenous association ia","SDG 16","SDG 16.8"
"P088799","subproject grants finance maximum investments","SDG 17","SDG 17.5"
"P088799","subproject proposals developed based aforementioned plans screened selected grant financing projects sustainable rural development fund detail annex appendix","SDG 11","SDG 11.a"
"P088799","subprojects proposals address issues related animal registration facilities sound management vaccination programs","SDG 3","SDG 3.b"
"P088799","subsequent qer review january sat team highlighted indigenous peoples safeguards mechanisms innovative practice","SDG 10","SDG 10.7"
"P088799","substandard housing overcrowding lack sanitation services polluted water supplies food insecurity widespread smallscale farmer indigenous community households","SDG 6","SDG 6.2"
"P088799","investments propose short medium longterm solutions collaborative land water management conservation activities time increasing soil fertility farm productivity income promote improvement animal health husbandry smallscale farmers indigenous communities","SDG 15","SDG 15.3"
"P088799","support depend individual community determined assistance indigenous peoples land access natural resources index designed project team target relevant activities community","SDG 10","SDG 10.7"
"P088799","supporting documentation form statement expenditures soes initially exception payments related contracts soe threshold reimbursed supporting documentation","SDG 16","SDG 16.1"
"P088799","sustainability","SDG 12","SDG 12.8"
"P088799","taking consideration grants financed life project facilitate adequate timely implementation monitoring grants current risk environment flow funds agreement signed mag eligible grant beneficiaries mag deliver beneficiary registry bnf ii eligible beneficiaries bank accounts bnf exclusively receive funds implementation community investment subprojects iiithe ris request advance payments mh deposit project account bnf iv beneficiaries meet requirements receive resources mag inform bnf transfer funds tranche project account beneficiary individual bank accounts beneficiaries payments suppliers services subprojects activities","SDG 17","SDG 17.5"
"P088799","taking consideration status indigenous communities indigenous communities project considered priority due incidence poverty level degradation natural resources depend survival","SDG 1","SDG 1.1"
"P088799","technical assistance training cover techniques improve agricultural livestock production sustainable management natural resources product intensification diversification processing marketing environmental protection developing management skills organization extension system","SDG 2","SDG 2.a"
"P088799","technologies markets required crop diversification vegetables instances locally additional volumes market marginal","SDG 17","SDG 17.8"
"P088799","notwithstanding scores obtained pillar employment amended local law methods low procurement threshold methodology assessment national procurement svstems version published july auspices joint world bank oecd development assistance committee dac procurement round table initiative","SDG 14","SDG 14.c"
"P088799","achievement projects principal outcomes assessed key performance indicators annex details cdgs mdcs mscs ias established strengthened participating management rural sustainable development target micro catchments indigenous communities project participation women rural youth decisionmaking level participation agreed organizations measured established trained submitting subproject proposals target farms increase agricultural incomes","SDG 2","SDG 2.4"
"P088799","aim minimize association indigenous peoples caazaph jekaha yma pave association leaders yacy caay district association avb guarani indigenous communities alto canindeju zone association indigenous communities san pedro acispe association guarani communities alto paranh","SDG 10","SDG 10.7"
"P088799","analysis expected benefits farm level improved practices yield returns hectare traditional annex","SDG 12","SDG 12.3"
"P088799","approaches developed projects reviewed discussed adapted information exchange seminars bank eminently positioned facilitate including developing innovative investment scale proposals assistance projects rural development fund kfws sustainable management natural resources project objective introduce sustainable agricultural forestry management systems scale farms sharing bestpractices conservation agriculture notillage ifads paraguay rural project sharing experiences creation social capital training beneficiaries organizations collective commercialization agricultural products gtzexecuted caazapa rural development project focused sustainable management natural resources diversification production improvement local regional public management sharing experiences product diversification idbs modernization agricultural public management project followup operation recently closed program support development cotton farms prodesal sharing information promoting coordination bestpractices technologies smallholder sector","SDG 2","SDG 2.a"
"P088799","atlantic forest upper parana atlantic forest endangered biomes globally biodiversity holds highly threatened","SDG 15","SDG 15.b"
"P088799","bank supported microcatchment areabased sustainable rural development projects brazilian santa catarina paranh rio grande sul sfio paul proving effective","SDG 12","SDG 12.1"
"P088799","bank countries latin american region world manage incidence food mouth transboundary diseases","SDG 12","SDG 12.3"
"P088799","banks comparative advantage lies unique experiences multilateral donor executing projects similar focus specifically locallevel capacity building planning natural resource management","SDG 12","SDG 12.2"
"P088799","borrower appraisal developed procurement plan project implementation basis procurement methods initial procurement plan","SDG 16","SDG 16.8"
"P088799","default approach notwithstanding identify opportunities benefiting employment local law procurement procedures procurement portal sicp sistema de informacidn de contrataciones pziblicas gain additional transparency competitiveness information systems local level","SDG 10","SDG 10.3"
"P088799","cas paraguay renowned corruption contraband","SDG 16","SDG 16.5"
"P088799","central headed project manager responsibility technical administrative management project including coordination partner institutions indi indert seam","SDG 16","SDG 16.6"
"P088799","commission developed program institutional reforms period public consultation actively promoting adoption reforms","SDG 17","SDG 17.17"
"P088799","communities rankings index access projects activities determined communitys indigenous community development plan","SDG 6","SDG 6.b"
"P088799","communities rankings access projects activities determined communitys indigenous community development plan","SDG 6","SDG 6.b"
"P088966","socioeconomic characteristics population lagoas norte region approximately percent people total population teresina live lagoas norte region","SDG 10","SDG 10.7"
"P088966","resources contributed beneficiaries payment charges taxes payment capacity","SDG 17","SDG 17.1"
"P088966","resources contributed beneficiaries payment tariffs taxes adequate payment capacity","SDG 17","SDG 17.1"
"P088966","special procurement undertakingo procurement processes services publishing commission cel announcements calling tendersbidsrfeois invitationscallsfor bids liaising parties evaluatingbids obtaining legal opinions issuing technical final evaluation reports entering data mis","SDG 16","SDG 16.9"
"P088966","specific indicators measure results component annex","SDG 17","SDG 17.19"
"P088966","specific interventions aimed realizing challenge sustainable equitable economic growth central brazils development agenda","SDG 6","SDG 6.2"
"P088966","specifically activities planned provide support potters iprofessional training employment activities market demand ii support training entrepreneurs creation businesses iiisupport cooperative ventures iv support upgrading quality ceramic products support legal regularization pottery activities identification deposits","SDG 6","SDG 6.3"
"P088966","sports culture leisure environmental conservation facilities region improved maintenance","SDG 11","SDG 11.4"
"P088966","subsequent event boa esperanqa dike extended mocambinho lagoons pump systems installed lagoons pump floodwater rivers pumping system oleiros lagoon mocambinho lagoon","SDG 16","SDG 16.10"
"P088966","summary environmental quality project implementation proper operation urbanenvironmental infrastructure water supply wastewater management treatment drainage project designed result positive environmental social benefits","SDG 6","SDG 6.3"
"P088966","summary project activities included comply bank safeguards environmental assessment op ipreparation ear undertaking public consultations ii institutional strengthening environmental management control licensing activities pmts sdr iii environmental bestpractice construction manual civil","SDG 17","SDG 17.17"
"P088966","supply city intermittent absent standard services pressure physicochemical bacteriological quality poor city situation due technical administrative andor operational nature levels wastage loss","SDG 11","SDG 11.6"
"P088966","support control systems adequate information systems easily adapted produce procurement reports","SDG 16","SDG 16.10"
"P088966","sustainability borrower commitment borrower ownership project","SDG 12","SDG 12.8"
"P088966","ta budget execution activities solve fragilities affect efficiency planning budgeting process pmt include ta semf produce decree establish rules guidelines budget execution personnel hiring deadlines criteria additional credits rules arrears past expenditures ii ta semf coordination financial units implement municipal treasury single account rationalize budget execution improve financial management reduce flows documents checks iiita treasury department coordination budget management department review approved budget adopt procedures controlling budget execution meet fiscal targets set limits commitments empenhos design procedures debt management control adopt fiscal risk management","SDG 17","SDG 17.4"
"P088966","teresina pressing wss investment operation challenges","SDG 17","SDG 17.5"
"P088966","absence properly organized road network based orderly pattern interlinked roads streets makes access difficult prevents easy movement people products services contributing isolation region rest city","SDG 11","SDG 11.6"
"P088966","acceleration financial assets accumulation resulted strong reduction net consolidated debt negative passing percent net current revenue percent percent october","SDG 17","SDG 17.4"
"P088966","acceleration financial assets accumulation resulted strong reduction net consolidated debt negative passing percent net current revenue percent net current revenue percent net current revenue october","SDG 17","SDG 17.4"
"P088966","activities included project subcomponent implementation integrated system planning budget financial management accounting administration activity supports budget formulation execution encompasses tax administration ii budget financial administration iiihuman resources iv ouvidoria ombudsman procurement stock control vi protocol process control vii management information viii legislation","SDG 17","SDG 17.1"
"P088966","activity totally irregular legal view inter alia conform labor legislation mining legislation environmental legislation","SDG 16","SDG 16.9"
"P088966","additional drainage achieved pumping systems exposes lagoon beds periods facilitating informal rudimentary extraction clay ceramic production bricks handicrafts oleiros lagoon harvesting pebbles lagoons form belt south","SDG 17","SDG 17.6"
"P088966","agenda strategy focused development issues reflect aptitudes trends potentialities teresina","SDG 16","SDG 16.8"
"P088966","agespisa model developed planasa program plano nacional de saneamento national sanitation plan beginning","SDG 6","SDG 6.2"
"P088966","aim provide opportunities inculcating values constitute soul city","SDG 11","SDG 11.6"
"P088966","aims pcao utmost preserve improve landscaping aspects locations stage iisupply construction company guidelines environmental information respected stages construction iiimake construction workers guidelines environmental information conduct environmentallycorrect","SDG 16","SDG 16.10"
"P088966","alternative chosen scenarios modeled established water level lagoons exception cerdmica poti cachorros lagoons established optimum water level","SDG 6","SDG 6.4"
"P088966","analysis alternatives study cumulative impacts projects proposed interventions ensure solutions contributes longterm sustainability","SDG 12","SDG 12.1"
"P088966","approximately inhabitants lugous norte region poorest leastserved teresina direct beneficiaries projects urban environmental social economic interventions region city specifically iurban services wss drainage solid waste management public lighting local transport iisocial services health education training programs iii quality local environment","SDG 11","SDG 11.6"
"P088966","occupied lowincome residents living extremely precarious insalubrious conditions homes permanent risk flooding lacking wss drainage basic services","SDG 1","SDG 1.1"
"P088966","arrangements implementation phases alternative assessed basis volume wastewater flowing wastewater treatment ete absorptive capacity receiving body","SDG 17","SDG 17.19"
"P088966","teresina project developed support federal governments vision equitable sustainable competitive brazil outlined ppa provide complementary interventions proposed pac","SDG 6","SDG 6.2"
"P088966","bank project support continued efforts identify feasible service delivery arrangement teresina timeframe bringing line requirements law demands ministkrio pziblico formal contractual arrangement wss service provision developed teresina competitive bidding process","SDG 14","SDG 14.c"
"P088966","bank project support continued efforts identify viable service delivery arrangement teresina january compliance requirements law demands ministerio pdblico","SDG 14","SDG 14.c"
"P088966","benefits arising avoided damages losses result interventions flooding allocated drainage component avoided damages losses health costs divided drainage component sewerage component","SDG 6","SDG 6.2"
"P088966","capacity recovering costs interventions identifying specific revenue generated component considered task","SDG 17","SDG 17.19"
"P088966","capacity recovering costs interventions identifying specific revenue generated component account task","SDG 17","SDG 17.19"
"P088966","city evolve major regional economic centre intends opportunity liaise federal governments civil society boost economic growth municipality sectors teresina businesses services","SDG 11","SDG 11.6"
"P088966","clay extraction process lagoa dos oleiros intense environmental degradation formation abandoned shafts cavas accumulate water meters deep undermine natural drainage","SDG 6","SDG 6.4"
"P088966","combined wastewater treatment receiving body water quality modeling analyses concentrated alternatives alternative collection treatment wastewater subbasins based installation flow anaerobic sludge blanket uasb reactors final effluent disposal existing drainage canals lagoons","SDG 6","SDG 6.3"
"P088966","community fora bestplaced body encourage coresponsibility parties vital element eventual success sustainability project interventions","SDG 12","SDG 12.1"
"P088966","community fora bestplaced entities encourage responsibility parties vital element eventual success sustainability project interventions","SDG 12","SDG 12.8"
"P088966","conceptual design wastewater treatment developed water quality modeling techniques ascertain impact levels treatment receiving water bodies demonstrated receiving river body assimilation capacity accept preliminary treated effluent","SDG 6","SDG 6.3"
"P088966","conclusions assessment fm arrangements proposed project annex satisfy banks minimum requirements fm systems effectively control monitor project provide reasonable assurance accurate timely information implementation status","SDG 16","SDG 16.10"
"P088966","conversion factors economic assessment study carried banks water sector modernization project pmss adopted","SDG 6","SDG 6.4"
"P088966","design resettlement program aims guarantee quality life families affected physical sense lost original homes aspects loss income interruption productive activities disruption social support networks neighborhood relations","SDG 11","SDG 11.5"
"P088966","disorderly irregular housing occupation lagoons source health risks approximately resident population","SDG 3","SDG 3.8"
"P088966","disorderly occupation lagoon banks indiscriminate disposal domestic solid waste exacerbate situation","SDG 12","SDG 12.5"
"P088966","econometric method obtaining data wtp based bounded logit parametric model consists calculating wtp relating probability affirmative response amount maximum likelihood estimation selected variables variable relating sum actual income","SDG 16","SDG 16.10"
"P088966","economic growth component based dual approach objective attract investment encourage entrepreneurial skills citys residents strengthening economic activities city outlying rural","SDG 11","SDG 11.6"
"P088966","electricity costs inserted operating costs","SDG 7","SDG 7.1"
"P088966","encroaching occupation sediment volume solid waste conspire restrict flow capacity natural drainage system comprising lagoons channels interlinking entire perennial flooding risk","SDG 12","SDG 12.4"
"P088966","establishment wastewater drainage management systems road system improvements recovery banks lagoons rives accompanied activities aimed population aware conserve infrastructure services provided live harmoniously regions water resources","SDG 13","SDG 13.3"
"P088966","families resettled option accessing existing housing market","SDG 8","SDG 8.10"
"P088966","activity dealt secondary data obtained research carried institute applied economic research ipea quantified cost involved accidents metropolitan annex economic analysis report project files survey","SDG 9","SDG 9.5"
"P088966","phase alternative implemented project water quality modeling solution demonstrates absence deleterious impacts water quality parnaiba river selfpurifying capacity river stretch consideration","SDG 6","SDG 6.3"
"P089985","project development objective key indicators","SDG 17","SDG 17.19"
"P089985","project development objective ref","SDG 16","SDG 16.8"
"P089985","quality assurance sustainability compromise strengthen instate capacity consulting engineers annual training wrds quality specialists design modern technically events combined sebs rehabilitation sustainable infrastructure","SDG 6","SDG 6.3"
"P089985","rajagopal water resources specialist earlier ttl sasda rabih","SDG 6","SDG 6.4"
"P089985","funds dams incorporated budgets irrigation system om proposed include wrds budget separate line items aggregate dams view importance adequately maintenance dams","SDG 16","SDG 16.10"
"P089985","rehabilitation improvement dams appurtenant structures focus structural nonstructural measures","SDG 17","SDG 17.19"
"P089985","rehabilitation improvement dams appurtenances focusing structural nonstructural measures project dams","SDG 17","SDG 17.19"
"P089985","responsible agency central water commission ministry water resources participating kerala madhya pradesh orissa tamil nadu","SDG 6","SDG 6.4"
"P089985","risk vulnerability mapping mitigation","SDG 13","SDG 13.a"
"P089985","risk risk factors rating mitigation measures residual risk multiple cdso cwc constituted cpmu central substantial implementing level","SDG 13","SDG 13.a"
"P089985","risk risks risk mitigation measures rating mitigation project development objective sufficient om project develop asset management systems budget assess specific om dams allocated dam implementing agencies calculate needbased dam om safety expenditures","SDG 16","SDG 16.10"
"P089985","roberto zagha sectors irrigation drainage flood sector manager simeon kacou ehui protection public administration sector themes water resource management natural disaster management environment natural resources management project id environmental category partial assessment lending instrument specific investment credit loan project financing data loan credit grant guarantee loanscreditsothers total bank financing usm","SDG 6","SDG 6.4"
"P089985","rti act suo moto disclosure information","SDG 16","SDG 16.10"
"P089985","ms development dsos","SDG 16","SDG 16.8"
"P089985","safeguard policies safeguard policies triggered project environmental assessment opbp","SDG 17","SDG 17.13"
"P089985","satisfactory project management na satis satis satis satis satis satis reports missions capacity implementing factory factory factory factory factory factory line agencies enhanced project pmu pmu pmu pmu pmu pmu agencies implementation schedules perfor perfor perfor perfor perfor perfor world measured performance mance mance mance mance mance mance bank aide annual plan budget memoires adhered","SDG 17","SDG 17.19"
"P089985","sebs agencies facilitate completed compliance months indian regulations conduct training rti project staff pmus effectiveness information","SDG 16","SDG 16.10"
"P089985","sedimentation reservoirs impacted storage capacity limiting economic benefits investments","SDG 17","SDG 17.5"
"P089985","selection panel carefully ensure selected authorities field capable reaching conclusions quickly","SDG 3","SDG 3.2"
"P089985","government agencies madhya pradeshs water resources department actively promoting private sector involvement dam development retrofitting hydropower generation facilities","SDG 17","SDG 17.17"
"P089985","sdsos shortage staff capacity office space equipment operating budgets limits ability adequately carry roles strongly senior management governments importance dam safety sufficient resources","SDG 11","SDG 11.7"
"P089985","sdsos shortage staff capacity office space equipment operating budgets limits ability adequately carry roles strongly senior management governments importance dam safety sufficient resources","SDG 11","SDG 11.7"
"P089985","standard screening forms developed esa documented esmf","SDG 7","SDG 7.b"
"P089985","significant impact livelihood systems result project interventions expected covered plan","SDG 15","SDG 15.c"
"P089985","significant impact livelihood systems result project interventions expected covered ipdp","SDG 15","SDG 15.c"
"P089985","similarly cwc project funds budgeted separate budget line cwc budget mowr accessed existing treasury system","SDG 13","SDG 13.a"
"P089985","similarly urban property buildings infrastructure risk significantly increased continue increase due urban expansion industrialization improved standards living","SDG 11","SDG 11.a"
"P089985","similarly banks experiences disaster risk management assist governments management dams flood waters","SDG 6","SDG 6.4"
"P089985","solutions focus structural measures structural remedial measures ensure dam reservoir sustainability maximize safety population property downstream dams","SDG 17","SDG 17.19"
"P089985","land acquired spillway enlargement expected involve resettlement people acquiring private land","SDG 17","SDG 17.17"
"P089985","main advantages include sharing practices knowledge gained project documents enhance implementation project ii introduction sense competition iii central services optimized benefit iv underperformance funds transferred performing","SDG 1","SDG 1.4"
"P089985","proposed relevant tasks provision formal onthejob training project staff districtzonal central level ensure awareness environmental social issues implementation esmf provision guidance support collect data investigation stage determine environmental social impacts including standalone emps required setting monitoring reporting system transparent social environmental issues related rehabilitation dams proposed mitigation actions required thirdparty construction supervision efforts ensuring actions agreed minimize environmental impacts implemented","SDG 13","SDG 13.3"
"P089985","proposed combine dam rehabilitation development","SDG 16","SDG 16.8"
"P089985","specific measurements measure indicator include availability detailed operation maintenance manuals regular inspections development information technology analytical tools generate collect evaluate monitor disseminate data dam safety operations project dams basic dam safety facilities percentage required budget adequate om dams project dams emergency response plans prepared disseminated population","SDG 11","SDG 11.a"
"P089985","staff manages dams trained environmental assessment screening related project activities","SDG 16","SDG 16.1"
"P089985","stakeholders provided requisite information basis questions identify recommend andor demand remedies","SDG 16","SDG 16.10"
"P089985","boundaries boundaries colors denominations information shown map imply judgment legal status territory international boundaries endorsement acceptance boundaries","SDG 16","SDG 16.9"
"P089985","strengthening complaint grievance handling system project level weakness finalize test computerized system registering months pmus complaint tracking monitoring complaints project effectiveness grievance handling devise criteria segregate complaints months pmus mechanism seriousness disposal project effectiveness affect timeframe designated authorities transparency maintain updated database complaints received continuously contribute action suo moto public disclosure project pmus corrupt reference application received rti act implementation manipulative practices","SDG 11","SDG 11.5"
"P089985","strengthening preventive actions corruption inadequate empower project staff beneficiaries report safeguards instances corruption describing channels pmus reporting responsibilities project address months pmus violation allegations corruption project effectiveness norms communicating projects tolerance policy corruption corruption level","SDG 16","SDG 16.5"
"P089985","strengthening project procurement management system procurement project transparent procurement policy based project management established practices strict compliance pmus effectiveness system agreed bank procedures result mismanagement project procurement plans policies bidding documents bidding effectiveness pmus posted project website spending onwards funds","SDG 11","SDG 11.a"
"P089985","strengthening systems processes project management weakness recruit adequate qualified staff pmu","SDG 16","SDG 16.10"
"P089985","mechanism educate project functionaries apprehension queries public project","SDG 17","SDG 17.17"
"P089985","arrangements lay foundation communication consultation information disclosure project activities enabling citizens stakeholders potentially influence project andor remedies nearterm project implementation longterm sustainability","SDG 17","SDG 17.8"
"P089985","contracts acceptable procurement shopping procedures envelop system","SDG 16","SDG 16.10"
