"Project","Text","SDG","Target"
"P144489","shadow prices factor fuel electricity subsidies","Climate mitigation","Climate mitigation.NA"
"P144489","table proposed quito metro line project length km underground quitumbeel labrador yard grade travel time stations minutes average commercial speed kmh stations operating reserve universal accessibility rolling stock electric trains cars motorized power fixed catenary dc signaling atpato automatic train protection automatic train operation tracktrain ats automatic train stop estimated ridership passengersday integrated mass transport system sitp metro backbone intermodal integration main existing brt trolebus intermunicipal buses terminals","Climate mitigation","Climate mitigation.NA"
"P144489","alternative central chosen viable future demand mass transit service restructuring current transport system city quito possibility construction metro lines future complement improve mass transit","Climate mitigation","Climate mitigation.NA"
"P144489","analysis assumes gallon fuel average grams emissions","Climate mitigation","Climate mitigation.NA"
"P144534","sectors climate change sector maximum total equal major sector sector adaptation mitigation cobenefits cobenefits energy mining renewable energy energy mining transmission distribution electricity total certify adaptation mitigation climate change cobenefits information applicable project","Climate mitigation","Climate mitigation.NA"
"P144534","selffinancing ratio annex social environmental safeguards turkey renewable energy integration project social safeguards","Climate mitigation","Climate mitigation.NA"
"P144534","simplification licensing processes boost wind energy installation reducing time lag licensing implementation projects","Climate mitigation","Climate mitigation.NA"
"P144534","simplification licensing processes boost wind energy installation reducing time lag licensing implementation projects","Climate mitigation","Climate mitigation.NA"
"P144534","wind energy predictable treated negative load purposes load dispatch countries developed volumes wind energy capacity rely robust load dispatch control systems managing fluctuations wind energy generation rapid response generation capacities","Climate mitigation","Climate mitigation.NA"
"P144534","wind energy predictable treated negative load purposes load dispatch countries wind energy capacity rely robust load dispatch control systems managing fluctuations wind energy generation rapid response generation capacities","Climate mitigation","Climate mitigation.NA"
"P144534","specifically electricity market licensing regulation lr stated emra assigned taking measures encouraging utilization renewable domestic energy resources initiate actions relevant agencies provision implementation incentives field","Climate mitigation","Climate mitigation.NA"
"P144534","specifically assume expected outage avoided project line reduction energy loss","Climate mitigation","Climate mitigation.NA"
"P144534","support implementation smartgrid technologies strengthening wind energy markets regulation","Climate mitigation","Climate mitigation.NA"
"P144534","table licensed wpp projects connected ctf financed substations wpp substation capacity mw company status ucpinar derbent licensed kocalar isider licensed koru eskoda licensed total substation evrencik vize evrencik licensed airres vize airres licensed vize vize karayel licensed total vize substation bergres izmir bergres licensed kinik izmir esinti licensed total izmir substation medium term benefits increased wind energy integration smart grids systems","Climate mitigation","Climate mitigation.NA"
"P144534","table project economic rate return component component baseline stress test upfront development transmission infrastructure submarine power cable strengthening transmission networks note stress test assumes scenario decrease emissions reduction decrease carbon electricity prices increase investment costs oneyear delay construction","Climate mitigation","Climate mitigation.NA"
"P144534","targeted wind capacity mw account installed generation capacity energy generation turkey","Climate mitigation","Climate mitigation.NA"
"P144534","teias establish similar arrangements renewable energy integration project","Climate mitigation","Climate mitigation.NA"
"P144534","achievement project development objective global environment objective measured key indicator objectives outcome indicators strengthening transmission system peak load handled transmission system mw meet increased power demand transmission lines constructed project km transformation capacity added project mva facilitating largescale renewable increase installed wind energy capacity mw wind energy generation increase wind energy generation gwh wind energy capacity connected substations funded project mw wind energy generated plants connected stations funded project gwh avoiding greenhouse gas ghg ghg emissions avoided wind energy plants emissions fossil fuel based connected substations funded project power mtco","Climate mitigation","Climate mitigation.NA"
"P146965","supported world bank interamerican development bank idb ppcr engaging jamaica projects improving climate data information management project ibrd ii communitybased climate resilience fisheries sector ibrd iii funding water adaptation jamaicas housing sector idb consistent jamaica strategic programme climate resilience spcr developed ppcr","Climate adaptation","Climate adaptation.NA"
"P146965","table procurement plan months estimated total estimated contract description cost procurement review date type contract contracts method bank award component technical assistance improved disaster climate resilience seismic data procurement collection equipment multiple ncb post nov seismic data minor preparation collection equipment shopping post mar seismic data consulting consultant services collection services training cqs post jun risk procurement information consultant project platform consulting management drr nrip services specialist cqs post oct risk information procurement platform consulting consulting firm nrip services nrip development cqs post nov risk information platform procurement nrip equipment ncb post dec risk information platform procurement nrip software licenses dc post sep risk information procurement data platform consulting incl","Climate adaptation","Climate adaptation.NA"
"P146965","technical assistance improved disaster climate resilience component","Climate adaptation","Climate adaptation.NA"
"P146965","atlas contribute informing improving national planning policies development guidelines priorities incorporate coastal hazard risk reduction strategies mechanisms ii informing design placement coastal defense systems natural engineered enhance reduction socio economic ecological risks coastal communities delineating critical coastal resources assessing potential impacts sea level rise identifying risk habitats iii augmenting national development priorities construction hard soft hybrid coastal management protection measures","Biodiversity","Biodiversity.NA"
"P146965","climate disaster risk reduction sections countrys national development plan vision jamaica aligned goals objectives outlined hfa","Climate adaptation","Climate adaptation.NA"
"P146965","contingent emergency response component cerc intended strengthen countrys response capacity safeguarding levels disaster vulnerability","Climate adaptation","Climate adaptation.NA"
"P146965","earthquake unit collaborates institutions focused disaster risk reduction climate resilience improve capacity predict provide seismic hazard assessments","Climate adaptation","Climate adaptation.NA"
"P146965","emf procedures screen impacts natural habitats forests pest management physical cultural resources develop proposed mitigation measures required","Climate adaptation","Climate adaptation.NA"
"P146965","forests policy opbp pest management policy opbp triggered","Climate mitigation","Climate mitigation.NA"
"P147854","snow water storage plays role water supply affected","Water","Water.NA"
"P147854","solid waste management water quality monitoring capacity buidling project management subcomponent","Water","Water.NA"
"P147854","solid waste water quality monitoring","Water","Water.NA"
"P147854","solid waste water quality monitoring capacity building project management","Water","Water.NA"
"P147854","solid waste water quality monitoring capacity building project management ibrd million technical studies solid waste management million","Water","Water.NA"
"P147854","solid waste water quality monitoring capacity building project management ibrdus million","Water","Water.NA"
"P147854","sustainable management conservation natural resources considered pillar moas strategy","Biodiversity","Biodiversity.NA"
"P147854","tariff policy objectives water resources scarce mobilization costly efficiently","Water","Water.NA"
"P147854","bank agree agencies follow procedures selection subconsultants individual experts supply minimum perform contract assignments exceeding circumstances response natural disasters emergency situations declared borrower recognized bank","Climate adaptation","Climate adaptation.NA"
"P147854","bankfinanced fy baalbeck water wastewater project million completed started errp focused capacity building newly created water establishments including beqaa integrated utilities baalbeck zahlé chamsine","Water","Water.NA"
"P147854","beqaa water wastewater establishment bwe responsible project","Water","Water.NA"
"P147854","business plan assessed quality surface water sediments litani river tributaries qaraoun lake based desktop analysis studies pertaining water sediment quality analysis contaminant concentrations surface water recording frequency exceeding guideline values test sediments exceedances metal sediments cadmium lead arsenic zinc vanadium chromium copper","Water","Water.NA"
"P147854","bwe current water wastewater fees water supply lbp myear wastewater lbp connected wwtp lbp connected sewage network irrigation lbp hour","Water","Water.NA"
"P147854","bwe limited ability enforce rules regulations conducting activities primarily users pay bills stopping illegal users water","Water","Water.NA"
"P147854","bwe public agency established water law amendments mandate manage water resources beqaa region","Water","Water.NA"
"P147854","bwe public agency mandate manage water resources beqaa geographic","Water","Water.NA"
"P147854","bwe public agency mandate manage water supply wastewater irrigation beqaa","Water","Water.NA"
"P147854","bwe public agency mandate operate maintain water supply wastewater irrigation beqaa","Water","Water.NA"
"P147854","bwe actively monitor billing fee collection water wastewater services consumers sufficient financial resources cover running costs utility","Water","Water.NA"
"P148129","ministry transports mot transit metropolis demonstration project cities including tianjin chosen pilot strategies public nonmotorized transport priority schemes travel demand management transitoriented development patterns","Climate mitigation","Climate mitigation.NA"
"P149872","subprojects include lamps combination lamps posts hooks meters management systems ancillary equipment water wastewater eligible equipment pumps motors auxiliary equipment extraction transportation distribution treatment water wastewater technologies water pumps variablespeed drivers capacitor banks starters transformers aeration systems wastewater mbs eligible equipment lighting airconditioning windows insulation white roofs solar water heaters photovoltaic pv systems technologies leds fluorescent bulbs highefficiency equipment","Climate mitigation","Climate mitigation.NA"
"P149872","table summarizes banks energy climate change engagement mexico","Climate mitigation","Climate mitigation.NA"
"P149872","team composition bank staff title specialization unit elena segura senior counsel senior counsel legle victor ordonez senior finance officer senior finance officer wfaln abel lopez urban transport specialist urban transport specialist gtidr césar arreola consultant consultant energy specialist geedr karen bazex senior energy specialist senior energy specialist geedr ttl martina bosi senior energy economist senior energy carbon geees finance specialist jas singh senior energy specialist senior energy efficiency geedr specialist janina franco senior energy specialist senior energy specialist task geedr team leader megan meyer energy specialist energy specialist geedr todd","Climate mitigation","Climate mitigation.NA"
"P149872","bank supported sener implementation energy sector management assistance programmes esmaps tool rapid assessment city energy trace municipalities mexico","Climate mitigation","Climate mitigation.NA"
"P149872","baseline progress reports water wastewater municipal buildings participants consultation activities indicator measures level biannual sener fide fotease sener project implementation community engagement project progress reports implementation","Water","Water.NA"
"P149872","cfe support project execution recognizing validating sl census prepared implementation interventions sector energy savings","Climate mitigation","Climate mitigation.NA"
"P149872","client required continue baseline energy bill payments account cfe pay reduced bills repay investment fees contract period","Climate mitigation","Climate mitigation.NA"
"P149872","cost carbon included economic analysis account financial analysis monetization emission reductions project envisioned savings om difficult quantify public building waterpumping sectors savings included analysis","Climate mitigation","Climate mitigation.NA"
"P149872","development objective proposed project promote efficient energy borrowers municipalities carrying energy efficiency investments selected municipal sectors contribute strengthening enabling environment","Climate mitigation","Climate mitigation.NA"
"P149872","direct support additional bonus translating shorter repayment period quicker availability savings municipal water wastewater operators budget legislation municipalities oos savings","Water","Water.NA"
"P149872","economic financial analysis ee subprojects costbenefit analysis subsector public lighting mb watersanitation typical municipalitywater utility based results energy audits andor similar projects performed mexico","Climate mitigation","Climate mitigation.NA"
"P149872","economic costs capital expenditures subproject preparation implementation incremental costs million economic savings million including savings energy expenditures include social cost carbon million","Climate mitigation","Climate mitigation.NA"
"P149872","electricity energy savings trust fund fideicomiso para el ahorro de energía eléctrica fide private profit trust fund tf technical financial solutions deployment energy efficient actions","Climate mitigation","Climate mitigation.NA"
"P150930","scarce water resources accentuate conflicts farmers degrading social capital","Water","Water.NA"
"P150930","surface water availability constrained rotation system farmers wishing grow highvalue watersensitive crops invested pumps backup supplies","Water","Water.NA"
"P150930","equipment manometers water leak detectors dataloggers purchased ormva staff monitor functioning performance network outlets onfarm water distribution","Water","Water.NA"
"P150930","farmers located lsi perimeters private groundwater complement surface water distributed ormvas rotation","Water","Water.NA"
"P150930","studies operation scheme volume compensate differences flow operation power plants demand irrigation water errors water measurements","Water","Water.NA"
"P150930","surface water allocation ormva limited groundwater scarcely bouida complement","Water","Water.NA"
"P150930","surface water resources significantly decreasing resulted average percent deficit compared allocation pdaire mm beni moussa perimeter","Water","Water.NA"
"P150930","surface water resources significantly decreased demonstrated reduction water inflows sebou river figure","Water","Water.NA"
"P150930","surface water supplies doukkala strongly decreased ten shown figure decrease reservoirs inflows extension service scheme","Water","Water.NA"
"P150930","table results exante ghg analysis tcoeq","Climate mitigation","Climate mitigation.NA"
"P150930","table results exante ghg analysis tcoeq vi pad data sheet kingdom morocco scale irrigation modernization project project appraisal document","Climate mitigation","Climate mitigation.NA"
"P150930","ability irrigated agriculture continue drive shared prosperity morocco threatened increasing water scarcity","Water","Water.NA"
"P150930","adoption drip irrigation adoption improved water management improved nutrient management accounted exact","Water","Water.NA"
"P150930","aquifer doukkala located lsi perimeter lowyield deep aquifer poor quality water","Water","Water.NA"
"P150930","aquifer sahel located narrow strip land coast line lsi perimeter overexploited private farmers vegetable production greenhouses","Climate mitigation","Climate mitigation.NA"
"P150930","characterised rainy season heavy clay soils risk flooding sebou river deep drainage","Biodiversity","Biodiversity.NA"
"P152851","robust systems delivering payments enrolled assessment investigate strength payment systems utilized sp program tho suitability deliver benefits post disaster","Climate adaptation","Climate adaptation.NA"
"P152851","secofinanced technical assistance supports government managing fiscal cost disasters negatively affecting development spending growth","Climate adaptation","Climate adaptation.NA"
"P152851","approach reduce sprawl land countryside preserved land towns recycled development","Circular economy","Circular economy.NA"
"P152851","shock waves managing impacts climate change poverty","Climate adaptation","Climate adaptation.NA"
"P152851","simultaneously targeted support provided addition regular social assistance systems strengthening reforms ensure upgraded social assistance system respond disasters","Climate adaptation","Climate adaptation.NA"
"P152851","spaces design tidal gates cai khe dau sau hang bang location reserved future pumping stations added future performance drainage system monitored future climate change scenario identified","Climate adaptation","Climate adaptation.NA"
"P152851","specific objectives project aligned include quickly develop infrastructure transportation infrastructure harmoniously sustainably develop regions build urban rural protect improve environment quality actively effectively deal climate change","Climate adaptation","Climate adaptation.NA"
"P152851","specifically objective achieved improving capacity city provide timely focused social assistance transparent manner disaster responsive social assistance system targeted affected vulnerable households aftermath disaster linking disaster responsive safety net risk financing measures protect citys term fiscal balance","Climate adaptation","Climate adaptation.NA"
"P152851","specifically objective achieved improving capacity city provide timely focused social assistance transparent manner disaster responsive social assistance system targeted affected vulnerable households aftermath disaster","Climate adaptation","Climate adaptation.NA"
"P152851","engagement increase awareness disaster risk urban planning volunteers participants increasing awareness understanding proposed project","Climate adaptation","Climate adaptation.NA"
"P152851","technical assistance delivered support activities including baseline diagnostics performance current urban transport system studies enabling conditions catalyze transition effective land provision quality transport service technical analysis support pilot projects","Climate mitigation","Climate mitigation.NA"
"P152851","assessment due diligence review ascertained potentially linked projects positive impacts address wastewater water treatment","Water","Water.NA"
"P152851","consultants supported seco funding experience flood risk management ii geospatial platform development data sharing protocols iii community mapping iv disaster risk financing insurance social protection","Climate adaptation","Climate adaptation.NA"
"P154283","rajasthana ms adani renewable energy fatehgarh pokaran park rajasthan limited jaisalmer rajasthan","Climate mitigation","Climate mitigation.NA"
"P154283","recognizing urgent supplement nonrenewable energy sources cleaner abundant renewable energy sources goi announced plans quadruple indias renewable energy capacity gw january figure gw expected require billion investments","Climate mitigation","Climate mitigation.NA"
"P154283","relevant portions emp included contract installation commissioning operation solar park facilities","Climate adaptation","Climate adaptation.NA"
"P154283","revised ctf investment plan india indicative financing plan million ctf financing ctf projectprogram mdb himachal pradesh environmentally sustainable development world bank policy loan partial risk sharing facility energy efficiency world bank solar park rajasthan adb shared infrastructure solar parks world bank adb httpmnregovinfilemanagergridsolarschemeforpercentdevelopmentofsolarparkultramegasolarpower projectpdf httpmnregovinfilemanageruserfileslistofapprovedsolarparkspdf httpwwwpvmagazinecomnewsdetailsbeitragindiatodoublelargescalesolartargettogwbysays ministeraxzzjlyyvaz include common electrical equipment power generated inside park metered pooled substations park customers common security lighting arrangements park access roads water supply cleaning panels","Climate mitigation","Climate mitigation.NA"
"P154283","rumslmpptcl undertaking entire shared infrastructure internal evacuation solar park packages transformer package substation package lots consisting building kv substations connected kv lines transfer power solar plant kv substation constructed powergrid","Climate adaptation","Climate adaptation.NA"
"P154283","scope avoided ghg emissions replication","Climate mitigation","Climate mitigation.NA"
"P154283","central governments stated policy goal replacing thermal generation renewable energy solar","Climate mitigation","Climate mitigation.NA"
"P154283","world bank guidance manual greenhouse gas accounting energy investment operations httppibnicinnewsiteprintreleaseaspxrelid international energy agency iea energy technology perspectives report","Climate mitigation","Climate mitigation.NA"
"P154283","sensitivity analysis social carbon social carbon npv million err low base social carbon npv million err","Climate mitigation","Climate mitigation.NA"
"P154283","sensitivity analysis project err robust unfavorable outcomes variables pv cost share energy curtailed coal price capacity utilization factor","Climate mitigation","Climate mitigation.NA"
"P154283","india lies solar insolation region declining cost trends solar pv innovations energy storage technology offer exciting opportunities india address challenges energy sector","Climate mitigation","Climate mitigation.NA"
"P154283","solar power variable energy source transition conventional generation managed effectively succeed","Climate mitigation","Climate mitigation.NA"
"P154283","solar power variable energy source transition managed effectively succeed","Climate mitigation","Climate mitigation.NA"
"P154283","solar energy essential meeting indias growing electricity demand environmentally sustainable","Climate mitigation","Climate mitigation.NA"
"P154283","solar photovoltaics pv emerged promising longterm option meet indias growing energy demand addressing adverse environmental impacts conventional fuels","Climate mitigation","Climate mitigation.NA"
"P154283","solar power india meet growing electricity demand foster energy security reducing dependence imported fossil fuels coal diesel","Climate mitigation","Climate mitigation.NA"
"P154283","support bridge energy supply gap contribute universal access agenda","Climate mitigation","Climate mitigation.NA"
"P155007","sbi coordinate implementation ta main stakeholders involved implementation grpv country project management consultant guidance mnrediscoms snas renewable energy power departments ercs","Climate mitigation","Climate mitigation.NA"
"P155007","sbis pom program includes relevant standards international electro technical commission testing potential induced degradation relevant india mounting structures energy meters monitoring systems inspection storage","Climate mitigation","Climate mitigation.NA"
"P155007","sbis pom program include relevant standards international electrotechnical commission iec testing potential induced degradation relevant india mounting structures energy meters monitoring systems inspection storage","Climate mitigation","Climate mitigation.NA"
"P155007","scope avoided ghg emissions replication","Climate mitigation","Climate mitigation.NA"
"P155007","sensitivity social carbon social carbon npv eirr low","Climate mitigation","Climate mitigation.NA"
"P155007","similarly reduction local environmental pollution substitution diesel generation grpv generation yield positive health benefits women children tend spend time outdoors transit chores activities","Pollution prevention","Pollution prevention.NA"
"P155007","grpv systems generate energy building locality consumption transmission distribution losses lower grpv systems conventional thermal coal plants constitute percent counterfactual program","Climate mitigation","Climate mitigation.NA"
"P155007","solar power intermittent energy source transition managed effectively successful","Climate mitigation","Climate mitigation.NA"
"P155007","singh energy economist energy geedr boonsri prasertwaree kim program assistant energy geedr gaurav","Climate mitigation","Climate mitigation.NA"
"P155007","snas public sector bodies responsible coordinating renewable energy activities","Climate mitigation","Climate mitigation.NA"
"P155007","snas assisted implement role coordinating renewable energy business sercs supported regular feedback loop regulations practice updates required","Climate mitigation","Climate mitigation.NA"
"P155007","solar power india meet growing electricity demand foster energy security reducing dependence imported fossil fuel coal diesel","Climate mitigation","Climate mitigation.NA"
"P155007","solar power indias largest renewable energy resource","Climate mitigation","Climate mitigation.NA"
"P155007","solar pv emerged promising longterm option meet growing energy demand india addressing adverse environmental impacts conventional fuels","Climate mitigation","Climate mitigation.NA"
"P155007","source wise installed capacity generation india mw capacity generation coal natural gas coal gas hydro oil hydropower cost benefit analysis india gridconnected rooftop solar program","Climate mitigation","Climate mitigation.NA"
"P155007","status gridconnected spv rooftop projects approved statesutssecipublic sector units government agencies projects national clean principle total sanctioned total approved energy fund approval mw approved achievement mnre scheme mnre mw principle mw mw snas mw seci ministry railways public sector units total source mnre","Climate mitigation","Climate mitigation.NA"
"P155007","strengthening institutional capacity discoms snas ercs contribute improved investment climate grpv coordinating administration technical assistance program program management consultant guidance mnre steering committee providing capacity building technical assistance support selected discoms regulators institutions respect solar rooftop power generation trading metering ii facilitating snas communication stakeholder awareness campaigns grpvs systems financing therefor iii establishing training accreditation programs qualified rooftop pv technical inspectors","Climate adaptation","Climate adaptation.NA"
"P155007","strengthening institutional capacity discoms snas ercs contribute improved investment climate grpv coordinating administration technical assistance program program management consultant guidance mnre steering committee providing capacity building technical assistance support selected discoms regulators institutions respect solar rooftop power generation trading metering ii facilitating snas communication stakeholder awareness campaigns grpvs systems financing therefor iii establishing training accreditation programs qualified rooftop pv technical inspectors","Climate adaptation","Climate adaptation.NA"
"P155007","summary advantages disadvantages rooftop solar india advantages disadvantages makes space intermittent energy source unused avoids additional land dedicated energy production produces power consumption solar makes contribution makes existing grid infrastructure indias evening peak demand substitute peak power requirements grow organically dependent risks systems unit costs projects utility scale groundmounted solar","Climate mitigation","Climate mitigation.NA"
"P155007","support grsspp expected slow growth supplydemand gap energy contribute faster achievement universal access agenda","Climate mitigation","Climate mitigation.NA"
"P155642","seyccat proceeds fund distinct streams ground improve management coasts coral reefs mangroves ii repayment impact investors iii capitalization seyccats endowment","Biodiversity","Biodiversity.NA"
"P155642","sustainable development fisheries aquaculture swio region supported coastal ecosystems biodiversity richness unique world","Biodiversity","Biodiversity.NA"
"P155642","baseline assumes expanded protection marine component improved governance priority fisheries including involvement communities private sector fisheries comanagement leading efficient implementation management plans increased contribution economies component private sector development local chains component prevent loss ecosystem services","Biodiversity","Biodiversity.NA"
"P155642","baseline scenario assumes activities funded project reverse current trend increasing overexploitation coastal resources loss marine ecosystem services","Biodiversity","Biodiversity.NA"
"P155642","baseline scenario incur costs losses due continuing trend coastal reef resources overexploitation habitat degradation driving losses natural capital biodiversity ecosystem services limited management sustainableuse marine protected including transboundary fish stocks coastal waters elements missing national fisheries information system economic monitoring legal framework policy planning decision inefficient overcapacity aging national fleet short chains limited postharvest added local stakeholders","Biodiversity","Biodiversity.NA"
"P155642","countrys comparative advantage lies natural capital tourism fisheries sectors overly dependent health coastal marine ecosystems","Biodiversity","Biodiversity.NA"
"P155642","debt restructuring supported nature conservancy reduces cost debt seychelles owes paris club creditors","Biodiversity","Biodiversity.NA"
"P157585","securing availability water resources conditions productivity enhancement stimulation investments technology crop diversification","Water","Water.NA"
"P157585","semiannual frequency pmis website semiannual report data source report methodology data collection cpmu pmis website responsibility data collection page strategic irrigation modernization urgent rehabilitation project establishment operationalization grievance mechanism water users delivery irrigation indicator services component grievance mechanism water users farmers water delivery based service agreements definitiondescription complaints comments water users reported annual report","Water","Water.NA"
"P157585","semiannual frequency pmis website semiannual report data source report methodology data collection cpmu pmis website responsibility data collection page strategic irrigation modernization urgent rehabilitation project establishment operationalization grievance mechanism water users delivery irrigation indicator services component grievance mechanism water users farmers water delivery based service agreements definitiondescription complaints comments water users reported annual reports","Water","Water.NA"
"P157585","semiannual frequency pmis website semiannual report data source reports methodology data collection cpmuime responsibility data collection indicator wuas trained decision component trainings decision include tertiary level water management association management definitiondescription stakeholder coordination provided","Water","Water.NA"
"P157585","semiannual frequency pmis website semiannual report data source reports methodology data collection cpmuime responsibility data collection indicator wuas trained decision component trainings decision include tertiary level water management association management definitiondescription stakeholder coordination provided","Water","Water.NA"
"P157585","simurp deal rehabilitation medium scale national irrigation schemes modernize systems added risks improve adapt institutional design meet emerging challenges food security crop diversification climate change context increasing pressures land water","Climate adaptation","Climate adaptation.NA"
"P157585","studies bruns helmi women actively involved field level water management includes operation management canals adjusting division structures minor repair cleaning canals","Water","Water.NA"
"P157585","specific activities include water resource assessments sharing page strategic irrigation modernization urgent rehabilitation project optimization ii diagnostic scheme reviews iii surveys investigations designs modernization principles ppsip iv upgrading modernizing river infrastructure relevant including irrigation drainage canals storage facilities incorporating climateresilient enhanced reservoir slope protection waterefficient features flow control structures vi measurement devices vii supporting infrastructure service roads viii support development improvement tertiary systems facilitate introduction climate smart agriculture","Water","Water.NA"
"P157585","technical sustainability development irrigation management infrastructure facilities result consultative process water users actively participating suit proposed measures","Water","Water.NA"
"P157585","basic approach implementing vision strategy built pillars improving water security availability ii rehabilitation upgrading infrastructure iii improvement irrigation management system iv strengthening irrigation management institutions strengthening human resources","Water","Water.NA"
"P157585","component promote climateresilient management strategies groundwater surface water change irrigation management strategies reduce climate vulnerabilities","Climate adaptation","Climate adaptation.NA"
"P157836","adcs legislative executive judiciary functions including respect forests reserved forests allocation land mining agriculture collection taxes user fees water resources districts resources management communitylevel planning approval village level convergence funding streams district level","Climate mitigation","Climate mitigation.NA"
"P157836","approach refers decision reduce trade offs competing land agriculture forestry mining multiple livelihood systems geographic unit reduce poverty increase food production protect ecosystems increase resilience climate change","Biodiversity","Biodiversity.NA"
"P157836","specifically define bottomup participatory planning processes participatory rural appraisal participatory rural investment planning exercise related introduction concept sustainable landscape planning emphasis enhancing climate resilience resource mapping availability natural resources landuse pattern villages social mapping demographics infrastructure institutions knowledge assessment affected natural resource degradation natural artificial factors identifying intervention assessment solutions opportunities focus costeffectiveness simplicity sustainability relevance climate resilience stakeholdergroup discussions identification priority interventions preparation cnrm plan involving planning budgeting interventions soil water conservation land development afforestation including community contribution","Biodiversity","Biodiversity.NA"
"P157836","core staff spmu include project director deputy project directors east region garo west region khasi jaintia additional project directors soil water forest community rural development administration managers environment social safeguards monitoring administration training capacity building monitoring evaluation knowledge management","Water","Water.NA"
"P157836","core staffing spmu comprises project director deputy project directors east region garo west region khasi jaintia additional project directors soil water forest community rural development administration managers environment social safeguards monitoring administration training capacity building knowledge management","Water","Water.NA"
"P157836","current challenges include soil erosion runoff leading loss productive land significant reduction fallow period shifting cultivation activities forest fires uncontrolled logging fuelwood extraction pollution water bodies unscientific coal mining activities water scarcity issues","Pollution prevention","Pollution prevention.NA"
"P157836","degradation land water meghalaya exacerbated climate change addressed sustain benefits natural resourcebased growth","Climate adaptation","Climate adaptation.NA"
"P157836","dimensions perception survey included increase productivity agriculture allied activities management access forests livelihood aspects","Biodiversity","Biodiversity.NA"
"P157836","dimensions perception survey included increase productivity agriculture allied activities management access forests livelihood aspects","Biodiversity","Biodiversity.NA"
"P157836","economic benefits included project economic analysis related improving crop productivity improving cropping intensity horticulture productivity due improved water regime increasing crown density conversion meghalayas forests villages converting cultivable wasteland villages agroforestry horticulture improved package agronomic practices","Water","Water.NA"
"P157836","economic cost contributions beneficiaries considered grant landscapebased activities forestry agriculture water management deducted","Water","Water.NA"
"P158119","social specialist bhopal paula uyttendaele water resources specialist brussels nishith dwivedi financial management specialist lucknow anil das sr","Water","Water.NA"
"P158119","sophisticated groundwater analysis national scale replace tapping local knowledge including communitylevel water budgeting information form integral modern water information system","Water","Water.NA"
"P158119","south asia region global water practice basic information date sectors water country director junaid kamal ahmad themes water resources management practice manager michael haney global practice vice laura tuck president program id team leaders abedalrazq khalil satya priya program implementation start date august date march period expected financing august effectiveness date expected financing closing september date","Water","Water.NA"
"P158119","groundwater directorate water resources department haryana","Water","Water.NA"
"P158119","rewarded communityled preparation gplevel water budgets wsps","Water","Water.NA"
"P158119","rewarded communityled preparation gp level water budgets wsps","Water","Water.NA"
"P158119","storm water harvesting structures district","Water","Water.NA"
"P158119","storm water runoff agricultural fields introduce fertilizers pesticides recharge systems contributing groundwater pollution direct injection recharge","Water","Water.NA"
"P158119","studies womens effective involvement key water users associations wuas roles effective water management including regular meetings revenue collection improved functioning water systems","Water","Water.NA"
"P158119","surface water availability major bottleneck upscaling artificial groundwater recharge dry regions","Water","Water.NA"
"P158119","surface water harvesting","Water","Water.NA"
"P158119","surface water interventions extent linked groundwater management improving conjunctive groundwater surface water","Water","Water.NA"
"P158119","surface water issues explicitly addressed water security planning extent strongly linked groundwater conditions improve conjunctive","Water","Water.NA"
"P158119","surface water issues explicitly addressed wsps extent strongly linked groundwater conditions improve conjunctive","Water","Water.NA"
"P158119","sustainable management groundwater resources significantly improve project residents resilience drought contribute efficient water resources serve buffer dry periods paragraph","Water","Water.NA"
"P158119","targeted mobilization women vulnerable build social capital develop inclusive institutions water security planning groundwater management","Water","Water.NA"
"P158119","abhy scope activities classified decision support tools groundwater management statespecific institutional framework sustainable groundwater management enhance groundwater recharge improve water efficiency strengthen communitybased institutions foster management","Water","Water.NA"
"P158119","objectives aim specifically address evermore pressing water scarcity brought climate change","Climate adaptation","Climate adaptation.NA"
"P158119","agencies covered central level cgwb mowr rdgr field units haryana department agriculture designated program nodal department irrigation water resources department key department involved groundwater activities karnataka aciwrm designated program nodal agency water resources department key line department involved groundwater activities gujarat gujarat water resources development corporation limited department water resources","Water","Water.NA"
"P158119","analysis found ghg emissions lowered approximately million tons equivalents","Climate mitigation","Climate mitigation.NA"
"P158119","arrest decline groundwater levels improve water regimes required agriculture domestic industrial purposes generating societal benefit","Water","Water.NA"
"P158119","assumption percent unmet demand based anecdotal evidence supported recent study unmet water demands occur regularly analyzed shortages grow considerably severe future fant","Water","Water.NA"
"P158119","studies analyzed outcomes percent additional water reduced water demand increased recharge stabilize groundwater table studies assume percent discount rate percent meet unmet current demand","Water","Water.NA"
"P158119","committee chaired secretary water resources includes secretaries drinking water environment forest rural development agriculture panchayati raj","Water","Water.NA"
"P158119","coordination surface water groundwater management coordination sectors affect dependent groundwater resources","Water","Water.NA"
"P158119","development adequate data collection sharing mechanisms central agenciescombined advanced tools realtime assessment water enable dissemination seasonal groundwater status reports block levelis prerequisite effective participatory groundwater management","Water","Water.NA"
"P158119","dli approved wsp sample size sufficient yield reliable information completed wsp gp gp dli considered achieved including water record completion criteria budget community participatory participation water budgets","Water","Water.NA"
"P158119","dli measured composite index consisting subindicators measuring observation periodic waterlevel data water quality samples collected blocklevel reports groundwater quantity quality data online public domain","Water","Water.NA"
"P158119","dli measured composite index consisting subindicators measuring observation periodic waterlevel data water quality sampling locations collected publicly blocklevel reports groundwater quantity quality data online public domain","Water","Water.NA"
