"","Project","Text","SDG","Target"
"1666","P085375","procured comparison prices reputable local suppliers forms found project manuals quotations public accountability meetings read aloud","SDG 17","SDG 17.17"
"1667","P085375","valued rp million equivalent purchased local supplierdstores conducting price comparison survey visiting local suppliers","SDG 2","SDG 2.c"
"1668","P085375","consulting services contract packages procured icb contracts estimated cost usd subject prior review bank","No map","No map.NA"
"1669","P085375","government accounting software record transactions","No map","No map.NA"
"1670","P085375","guidelines submission complete documentation risk improperlincomplete required requests payments treasury financial documentation office ministry finance prepared documented project manuals","No map","No map.NA"
"1671","P085375","guidelines preparing risk individuals favor firms justifications prepared included individuals included project manuals shortlist require shortlisting process pressures level procurement committee responsible conducting include firms due diligent check information submitted shortlist lot times lead consultants proposed included qualified firms shortlist shortlist prebid meetings prebid meetings compulsory bidders attend prebid procurement simple meetings","No map","No map.NA"
"1672","P085375","yq annex detailed project description indonesia water supply sanitation low income communities pamsimas project program development objective increase lowincome rural periurban populations accessing improved water sanitation facilities practicing improved hygiene behaviors recipients efforts achieve wssmdgs programmatic mainstreaming scalingup nationwide community driven approach","SDG 6","SDG 6.2"
"1673","P085375","handwashing hygiene health proposals strengthening wslics health component national handwash campaign government regulation","SDG 6","SDG 6.2"
"1674","P085375","icr wsslic rated satisfactory midterm review wslic rated implementation performance satisfactory","No map","No map.NA"
"1675","P085375","proposed project include resources nationwide advocacy rencana pembangunan jangka menengah january water sanitation sector historically received share development budget averaging percent central government budgets coalitionbuilding efforts alignment institutional incentives support mainstreaming scaling approach provincial district village levels involving government civil society","SDG 6","SDG 6.2"
"1676","P085375","economic return","No map","No map.NA"
"1677","P085375","performing communities qualify incentive funds component","SDG 13","SDG 13.a"
"1678","P085375","risk representatives enhancing complaint handling mechanism tighten bank supervision zonsultant training poorly conducted conducted invite cso representative participate timetable training report training quality ledium risk salary payment delay salary payment enhanced complaint handling sanction late onsultants cet onsultant effect payment performance project mediumrisk misused fund budget markup","SDG 4","SDG 4.2"
"1679","P085375","risk preferred bidders lower quality productslservices enhanced capacity officials involved procurement decision including hiring consultants enhanced control system internal external including involvement civil society procurement decision actions development project manuals corruption mapping opportunity corruption mitigation action risk level appointment project insufficient capacity project manual include criteria implementing unit transparency potentially lead selection performance indicators project satker staff collusive practices manager treasurer planning staff procurement staff commitment maker financial staff ii requirement conduct annual treasurer advance performance appraisal based criteria iii holder remittancdspm require cpmu conduct sufficient training issuer district levels project manual project staff based functional mandates qualification","SDG 10","SDG 10.3"
"1680","P085375","level objectives project contributes","No map","No map.NA"
"1681","P085375","highrisk recruitment process risk collusive practices enhanced disclosure complaint handling cfs pmus recruit preferred consultants sanction defined keppres","No map","No map.NA"
"1682","P085375","major adverse impacts expected scale projects expected","No map","No map.NA"
"1683","P085375","teething substantially overcome fiscal dipas spending agencies issued time january","No map","No map.NA"
"1684","P085375","control villages found project phased nature interventions","No map","No map.NA"
"1685","P085375","community capacities sustain water systems periods tended limited","SDG 6","SDG 6.4"
"1686","P085375","implementation strategy developed awaiting national assessment sector investment financing strategy reach mdgs","SDG 17","SDG 17.5"
"1687","P085375","project funds finance project implementation mone","SDG 13","SDG 13.a"
"1688","P085375","scale subprojects expected major adverse impacts expected","No map","No map.NA"
"1689","P085375","data reports access private sanitation facilities country percent percent rural percent urban households quarter rural household facilities thirds urban connected septic tanks","SDG 11","SDG 11.a"
"1690","P085375","directorate responsibility water sanitation cipta karya weak safeguards compared dgs ministry notably directorate regional infrastructure","SDG 6","SDG 6.2"
"1691","P085375","eligibility criteria type expenditure target beneficiaries finalized substantial amount fund managed force account contract mechanism approximately total project cost implemented levels central province district subject financial controls stringent","No map","No map.NA"
"1692","P085375","project recognizes indigenous peoples merits approach specific support","SDG 10","SDG 10.7"
"1693","P085375","concerns ability marketing approach reach poorest households remote","No map","No map.NA"
"1694","P085375","vitslvillages comply project rules grants activities cap project framework receive subsequent tranches","No map","No map.NA"
"1695","P085375","projects proposed sensitive sites protected watershed protection zones ukijupl required","No map","No map.NA"
"1696","P085375","corruption mapping opportunity corruption mitigation action risk level bidderslconsultants intend participate procurement packages project required disclose information upfront board directorslcommissionaires family family respective procurement committee ii echelon government departmentst ministries project","SDG 10","SDG 10.3"
"1697","P085375","project evaluation project finance cost consulting services consultant services contract suitably qualified consultant","No map","No map.NA"
"1698","P085375","means sanitation coverage increased million jmp joint monitoring program definitions","SDG 6","SDG 6.2"
"1699","P085375","targeting investment poor communities modeling building capacity community driven development providing safe wss conditions positive health outcomes poor communities reducing water purchase expenditure saving time fetching water","SDG 6","SDG 6.3"
"1700","P085375","district level local governments nongovernment stakeholders adopt community driven approach modifying local regulations budget allocations institutional mechanisms strengthening local capacity","SDG 16","SDG 16.6"
"1701","P085375","anticipated districts qualify grant grant awarded approximately villages district","No map","No map.NA"
"1702","P085375","estimated proportionately people benefit projects sanitation component","SDG 10","SDG 10.7"
"1703","P085375","evaluated evaluation team comprising sectors evaluation criteria pom countersigned district management consultant","No map","No map.NA"
"1704","P085375","expected applications districts exceed amount funds","No map","No map.NA"
"1705","P085375","expected outcomes lead improved health status measured reduction incidence water hygiene related diseases enhanced human economic development brought time savings measured increased earnings improved school attendance nutritional status children","SDG 6","SDG 6.2"
"1706","P085375","extremely project approach magnitude","SDG 1","SDG 1.1"
"1707","P085375","training set context proposed partnership agreements evolved basis roll pamsimas","No map","No map.NA"
"1708","P085375","proposed pamsimas subprojects fall category relation community water supply village development grants components","SDG 16","SDG 16.1"
"1709","P085375","fairly balanced proportion project nonproject villages included susenas serve crosscheck progress limited range indicators detailed questions indonesian demographic health survey idhs undertaken intervals request additional questions intensive sampling project districts","SDG 17","SDG 17.19"
"1710","P085375","pushing legalization policy level presidential decree","SDG 16","SDG 16.9"
"1711","P085375","recognized projects encourage voluntary nonproject observers assist project monitoring processes","No map","No map.NA"
"1712","P085375","contents disclosed world bank authorization","No map","No map.NA"
"1713","P085375","propagation slow confined limited provinces districts","No map","No map.NA"
"1714","P085375","noted items attachment clauses standard acaps past represent standard governance measures crafted specifically perceived additional risks pamsimas","No map","No map.NA"
"1715","P085375","informative processes development objectives influenced including selection communities benefit project support decisions communities ii extent services expanded populations previously receive iii extent communities change behavior iv potential sustainability project interventions extent safeguards policies adopted","SDG 16","SDG 16.7"
"1716","P085375","provide specific conditions development water supply schemes environmental sensitive","SDG 6","SDG 6.4"
"1717","P085375","set project account receive credit funds authorized dghs","No map","No map.NA"
"1718","P085375","support cdd planning management water sanitation hygiene improvement programs build stakeholder commitment expand capacity central provincial district government agencies","SDG 6","SDG 6.2"
"1719","P085375","ifthis leads economic health benefits expected relationship difficult establish","No map","No map.NA"
"1720","P085375","geographic rollout plan based observable quantitative criteria transparency ethical reasons validity evaluation","SDG 16","SDG 16.6"
"1721","P085375","examine consumer perceptions existing services consumer preferences barriers adoption poor households invest sanitation facilities alternative spending preferences recommend practical locally solutions barriers gaps shortcomings market","SDG 17","SDG 17.5"
"1722","P085375","implemented central government project providing assistance directly villages meet targeting selection criteria","No map","No map.NA"
"1723","P085375","record credits debits verify exceed verify disburse approved subproject debits identified date withdrawal","No map","No map.NA"
"1724","P085375","district level planning implementation transparent water sanitation sector strengthen capacity poor villages participating processes","SDG 6","SDG 6.2"
"1725","P085375","provide focus broader community awareness measures environmental management delivered facilitators","SDG 13","SDG 13.3"
"1726","P085375","xi cultural property opn revised op","No map","No map.NA"
"1727","P085375","xi indigenous peoples od revised op","SDG 10","SDG 10.7"
"1728","P085375","xi involuntary resettlement opibp","No map","No map.NA"
"1729","P085375","xi pest management op","No map","No map.NA"
"1730","P085375","xi projects disputed opibpigp","No map","No map.NA"
"1731","P085375","xi projects international waterways opibpigp","No map","No map.NA"
"1732","P085375","xi project classified environment safeguards category lead significant adverse social environmental impacts community based approach provision water supply sanitation","SDG 11","SDG 11.6"
"1733","P085375","ibrd indonesia water supply sanitation low income comatunities pamsimas project project appraisal document east asia pacific eashd date june team leader vicente","SDG 6","SDG 6.2"
"1734","P085375","identification training local trainers provide accredited community facilitator training meet anticipated increased demand market services local government","SDG 10","SDG 10.1"
"1735","P085375","identify align roles relationships powers functions institutions wss sector align institutional arrangements tasks functions delivered","SDG 16","SDG 16.6"
"1736","P085375","idr million total cost community grants benefiting communities required contribute percent percent cash percent inkind total community action plan cap costs bringing total allocation village idr million","No map","No map.NA"
"1737","P085375","existing committees exist similar functions assume role dcc","No map","No map.NA"
"1738","P085375","project piece land water supply infrastructure community expected existing public spaces voluntarily contribute land project exchange communitys benefits project","SDG 11","SDG 11.7"
"1739","P085375","project unit concerned lacks personnel form committee national cpmu carry tender behalf project unit package dropped list","No map","No map.NA"
"1740","P085375","instances bidding committee reported violation results rebid committee automatically disbanded formed membership","No map","No map.NA"
"1741","P085375","existing undertake function included","No map","No map.NA"
"1742","P085375","conditions met months district pmu option offer grant funds allocated village community applied project","SDG 13","SDG 13.a"
"1743","P085375","implementation agreements vit submits cap district pmu","No map","No map.NA"
"1744","P085375","implementation laws regulations gradually progressed","SDG 14","SDG 14.c"
"1745","P085375","implementation sops require program training community technical facilitators communities","No map","No map.NA"
"1746","P085375","implementation cdd processes community level subcomponent builds community capacity preparing implementing caps gender poverty inclusive participatory approaches managing wss services","SDG 1","SDG 1.1"
"1747","P085375","implementation guidelines built project oversight structures guidelines tools terms reference central project management unit district management units technical community facilitators","No map","No map.NA"
"1748","P085375","implementation support project management overview relationship delivery structure project grants technical assistance project components provided table","No map","No map.NA"
"1749","P085375","improvement informations quality facilitation local language material","SDG 4","SDG 4.2"
"1750","P085375","improving hygiene sanitation behavior services","SDG 6","SDG 6.2"
"1751","P085375","improving hygiene behavior services include program activities identified nipaphast approach improve community hygiene behavior schoolbased health hygiene activities hygiene teaching","SDG 6","SDG 6.2"
"1752","P085375","improving hygiene sanitation behavior services technical guidance proposed national program community water supply sanitation services project","SDG 6","SDG 6.2"
"1753","P085375","formulated national policy communbused water supply environmentul sunitutonwses participatory process involving ministries share roles responsibilities wss sector","SDG 6","SDG 6.4"
"1754","P085375","asian development bank adb funded community water services health projects cwshp","SDG 6","SDG 6.b"
"1755","P085375","addition participating district government implement counterpart replication program additional communities funded local budgets pamsimas methodology level technical inputs quality controls","SDG 4","SDG 4.2"
"1756","P085375","addition participating local government required implement replication program additional communities funded local budgets pamsimas methodology level technical inputs quality controls","SDG 4","SDG 4.2"
"1757","P085375","addition executing component project dghs responsible coordination project including providing implementation support assistance implementing agencies ensure smooth implementation project","No map","No map.NA"
"1758","P085375","addition productivity gains project households benefit directly convenience quantity water","SDG 9","SDG 9.b"
"1759","P085375","addition recommended interim unaudited financial report ifr project basis disbursement monitoring project implementation","No map","No map.NA"
"1760","P085375","addition initiatives strengthen dgs ownership key lesson learned wslic evidence cdd programs likelihood remaining operational implementation facilities provided traditional project approach","No map","No map.NA"
"1761","P085375","addition health issues difficult access improved water supply means poor households women children spend substantial amounts time fetching water","SDG 9","SDG 9.b"
"1762","P085375","addition participating district government agree implement counterpart replication program funded local government budget additional communities condition entry project component finance percent costs implementation physical wss facilities school community hygiene promotion capacity building community management procurement materials equipment construction development construction schedule labor management plan including identification external skilled labor civil contractors required contracted supervised community","SDG 6","SDG 6.2"
"1763","P085375","addition emerging experience recent generation communitydemand driven projects longterm sustainability services community management adequate arrangement","SDG 9","SDG 9.b"
"1764","P085375","addition performing community additional village grants starting implementation maximum idr million community equivalent usd development clean water facilities ii additional grant provided district grant maximum idr million community","SDG 6","SDG 6.b"
"1765","P085375","addition finalized technical options include options lead significant residual environmental impacts substantial environmental management responsibility local communities operational phase","SDG 9","SDG 9.b"
"1766","P085375","addition period characterized economic turmoil asian financial crisis unprecedented indonesian ministry health indonesia health profile political change major shifts decentralized government decentralized budget processes","No map","No map.NA"
"1767","P085375","procurement contracts proof fraud corruption collusion coercive practices result termination relevant contract possibly additional penalties imposed fines blacklisting accordance bank government regulations","SDG 16","SDG 16.5"
"1768","P085375","community capacity construct construction deep community mpw prior agreement established subproject implementation agreement procure civil contracts simplified shopping procedures","No map","No map.NA"
"1769","P085375","baduy project enter approached traditional leaders agreed project build health facility border customary","SDG 3","SDG 3.c"
"1770","P085375","close consultation bank implementing agency establish mechanism media civil society involved monitoring progress project civil society oversight","No map","No map.NA"
"1771","P085375","indonesia estimated rate return wslic percent based time saved fetching water monetary savings water purchases","SDG 6","SDG 6.5"
"1772","P085375","countries progress increasing access sanitation achieved private suppliers serving individual households market forces successful tharother approaches promoting adoption sanitary toilets sustainable hygiene behaviours","SDG 6","SDG 6.2"
"1773","P085375","achieve rural wss mdgs estimated million million pamsimas funding shown table","No map","No map.NA"
"1774","P085375","obtain block grants community prepare comprehensive water sanitation development plan strategy form community action plan cap","SDG 6","SDG 6.b"
"1775","P085375","pamsimas encouragement include advice civil society select observers briefingltraining potential observers monitoring compliance cpmu lower implementation units sanctions units noncompliance","No map","No map.NA"
"1776","P085375","pamsimas agency delegated financial authority specific components represented project implementing units project coordination teams levels increase intersectoral cooperation","No map","No map.NA"
"1777","P085375","principle funds spent project village multiplier effect","No map","No map.NA"
"1778","P085375","regard procurement risk deemed due factors widespread corruption collusive practices country ii procurement delays due unavailability budget documents gois fiscal iiilow capacity procurement staff","SDG 16","SDG 16.5"
"1779","P085375","regard program expansion pamsimas expected sustainable reasons","SDG 12","SDG 12.8"
"1780","P085375","regard sanitation recognized susenas data provide sufficient information set mdg rural sanitation targets susenas define rural mdg sanitation targets","SDG 16","SDG 16.10"
"1781","P085375","regard wslic estimated rate return sample beneficiary communities percent including time saved fetching water monetary savings water purchases","SDG 6","SDG 6.b"
"1782","P085375","rural indonesia achieving mdgs hinge empowering poor unserved communities sustainable choices improving services supporting efforts","SDG 1","SDG 1.4"
"1783","P085375","safe water scarce people buy drinking water private vendors times usual utility tariff water","SDG 6","SDG 6.3"
"1784","P085375","villages visited bp applied flat price users social economic condition provide crosssubsidy poor households","No map","No map.NA"
"1785","P085375","subsequent taking account experience receiving reliable project bank change arrangement consultation project reportbased disbursement disbursement based quarterly consolidated ifr prepared cpmu duly approved dg treasury mof documentation expenditures reported disbursements retained implementingunits auditors annual audit bank representative requested","No map","No map.NA"
"1786","P085375","sum technical management risk manageable fiscal sustainability feasible benefits project propoor","SDG 12","SDG 12.8"
"1787","P085375","summary study found cdd projects economic rates return","No map","No map.NA"
"1788","P085375","terms longterm maintenance pamsimas adopted design features wslic experience found enhance sustained operations maintenance beneficiary communities","SDG 12","SDG 12.8"
"1789","P085375","terms quality life analysis majority communities build infrastructure projects quality lives medium term future significantly improved due benefits direct indirect resulted projects","SDG 4","SDG 4.2"
"1790","P085375","community grants community required disclose information upfront representatives family family evaluation committee local government levels ii board directors commissionaires relevant management consultants iii echelon rv respective local governments","SDG 16","SDG 16.10"
"1791","P085375","bidding documents bidders request proposals bidders relevant documents notification award successful firm document continue completion contract entered services question public promptly request shortlists consultants prequalification lists pre qualified suppliers","SDG 17","SDG 17.17"
"1792","P085375","implementation average cost rp million water systems rp million community hygiene sanitation promotion determine district budgets","SDG 6","SDG 6.2"
"1793","P085375","facilitate financial accounting reporting financial management consultants embedded project management consultants planned deployed centre participating provinces districts","No map","No map.NA"
"1794","P085375","medium term dispersed communities continue obtain water sanitation services selfprovisioning communitymanaged systems cost providing direct utility managed services remote current limited capacity pdams","SDG 6","SDG 6.b"
"1795","P085375","past projects rural towns water sanitation infrastructure improvement communitybased water supply sanitation improvement integrated community health sanitation water project funded oecf kfwgtz ausaid care yayasan dian desa","SDG 6","SDG 6.b"
"1796","P085375","past topdown rural water supply projects sustainable","SDG 6","SDG 6.4"
"1797","P085375","preparation wslic rate return estimated percent","No map","No map.NA"
"1798","P085375","figure increased percent rural percent urban","SDG 10","SDG 10.1"
"1799","P085375","regard agendas waspola pamsimas closely aligned","No map","No map.NA"
"1800","P085375","regard agreed allocate sufficient resources project carrying bridging activities notably fiduciary safeguards domain","No map","No map.NA"
"1801","P085375","regard noteworthy redistribution effect greatly diminished elite capture project benefits importance broad community participation development project systems","SDG 16","SDG 16.10"
"1802","P085375","benefits adequate sanitation hygiene practices access safe water supply detailed annex","SDG 6","SDG 6.2"
"1803","P085375","view banks extensive experience potential valueadded explicitly bank preparation credit support abovementioned pamsimas program","No map","No map.NA"
"1804","P085375","view wslic experience plan resources offset percentage cfts lost jobs","No map","No map.NA"
"1805","P085375","villages receiving community grants provinces districts","No map","No map.NA"
"1806","P085375","include performance promoting gender equity pamsimas subproject evaluation criteria institutional community grants encourage womens meeting existing womens participating villages collect ideas village proposal","SDG 5","SDG 5.5"
"1807","P085375","inclusion vulnerable concept project implementation operationalized detailed project manuals term reference manual facilitators community decision processlconsultation meetings","SDG 16","SDG 16.7"
"1808","P085375","inclusion vulnerable project cycles project ensure vulnerable chances inclusion project cycles project benefits","SDG 1","SDG 1.5"
"1809","P085375","inconsistent government policy project organizes funds advocacy program including subsidy household latrine policy consensus building district level commitments construction undermining bupati apply nosubsidytohousehold latrine policy adodtion scaling uv clts risk rating","SDG 12","SDG 12.c"
"1810","P085375","independent assessments impact carried consultant conduct baseline midterm final surveys selection villages taking advantage phased implementation project eligible villages","No map","No map.NA"
"1811","P085375","independent civil society observers encouraged attend","No map","No map.NA"
"1812","P085375","independent monitoring central pmu hire competitive bidding consultant conduct impact evaluation baseline midterm project completion","No map","No map.NA"
"1813","P085375","independent monitoring involve civil society reviewing pamsimas performance increase project transparency accountability","SDG 16","SDG 16.6"
"1814","P085375","independent ptoject monitoring evaluation","No map","No map.NA"
"1815","P085375","independentproject impact qcbs prior jan consultancy services estimated cost usd subject prior review bank short lists composed national consultants short lists consultants services estimated cost usd equivalent contract composed qualified national consultants accordance provisions paragraph consultant guidelines","No map","No map.NA"
"1816","P085375","indibenous vulnerable people nationwide scope pamsimas possibility indigenous people located triggering op ip policy ip framework developed ensure application safeguard policies annex loa","No map","No map.NA"
"1817","P085375","indications demand communities districts exceeds capacity project supply","SDG 17","SDG 17.19"
"1818","P085375","indigenous people pamsimas target specifically vulnerable people","SDG 10","SDG 10.7"
"1819","P085375","indigenous people project nation wide scope possibility entering location framework ensure ip included decision process equal benefit prepared annex lob accordance op","No map","No map.NA"
"1820","P085375","indigenous people vulnerable easily adversely affected development projects special characteristics economically marginalized","SDG 11","SDG 11.5"
"1821","P085375","individual district governments appoint agencies required","No map","No map.NA"
"1822","P085375","individual procurements grants executed communities widely dispersed","No map","No map.NA"
"1823","P085375","individual provinces add agencies required","No map","No map.NA"
"1824","P085375","indonesia averting infrastructure crisis framework policy action water sanitation program irc international water sanitation centre","No map","No map.NA"
"1825","P085375","indonesia country assistance strategy fy october project calls bridging activities prepare undertake sector wide program designed scale implementation cunent cdd wss policy framework","No map","No map.NA"
"1826","P085375","indonesia country report prepared kyoto global water summit robinson andy","SDG 6","SDG 6.b"
"1827","P085375","indonesia ambitious reform agenda implement","No map","No map.NA"
"1828","P085375","indonesia double current government investment sector reach wssmdgs","SDG 17","SDG 17.5"
"1829","P085375","indonesia statement fcs held disbursedportfolio millions dollars committed disbursed ifc ifc fy approval company loan equity quasi partic","No map","No map.NA"
"1830","P085375","indonesias environmental review procedures broadly acceptable bank form framework pamsimass approach environmental management","No map","No map.NA"
"1831","P085375","inevitably sanitation hygiene promotion require skills institutional arrangements water supply development improve build capacity local institutions plan implement monitor programperformance measure interventionimpact","SDG 6","SDG 6.2"
"1832","P085375","information dissemination district province levels ensure related government civil society informed project encouraged support","SDG 16","SDG 16.1"
"1833","P085375","information dissemination villages participate project reach remote vulnerable communities live","SDG 1","SDG 1.5"
"1834","P085375","information summaries limited bidders bid prices financial proposals read public openings bids financial proposals bids proposals declared responsive reasons assessment winning bidder contract price","No map","No map.NA"
"1835","P085375","information lessons learnt funds retrieved widely disseminated","SDG 16","SDG 16.10"
"1836","P085375","information openly enabling villages compare progress","SDG 16","SDG 16.10"
"1837","P085375","infrastructure affairs national development planning agency ministry national development planning indonesia","SDG 9","SDG 9.a"
"1838","P085375","infrastructure constraints consideration","No map","No map.NA"
"1839","P085375","inparticular regulatory instruments initiate reforms issued including finance treasury public accountability provide legal basis improvements countrys public financial management","No map","No map.NA"
"1840","P085375","ins si water ly sanitation low income communities roject candidate provinces indonesia selected cities towns myanmar province capitals vietnam philippines national capital rivers main roads thailand sulu railroads sea province boundaries international boundaries banda aceh brunei map produced medan natuna besar celebes talaud map design unit","SDG 11","SDG 11.6"
"1841","P085375","independent evaluations hygiene behaviour change conducted randomly selected province","No map","No map.NA"
"1842","P085375","recognizing lay groundwork swap expressed consolidation mainstreaming cdd initiatives wss sector specific investment loan sil type credit pamsimas simultaneously initiating bridging activities enable prepare sector wide program","SDG 17","SDG 17.5"
"1843","P085375","institutional implementation arrangements project implemented central government assistance provided directly village level mechanisms require district government involvement","SDG 16","SDG 16.6"
"1844","P085375","institutional capacity project executing agency lead implementing agency mpw ministry capacity implement environmental safeguards line ministry","SDG 13","SDG 13.3"
"1845","P085375","institutional responsibilities village level completion project implementation key issue term service sustainability","SDG 12","SDG 12.8"
"1846","P085375","institutional suuuorto communitv mograms strengthen capacities province level institutions responsible environmental health health promotion providing technical assistance districts implementing component activities facilitating cross learning sharing events disseminating program innovations improvements","SDG 9","SDG 9.5"
"1847","P085375","integration environmental supporting weak existing capacity incorporated safeguards clauses environmental management orientation training based advice partnership agreements mpw cipta karya cpmu environmental specialist","No map","No map.NA"
"1848","P085375","intercommunity exchange visits supported spreading public awareness raise motivation change","SDG 13","SDG 13.3"
"1849","P085375","intermediate objectives","No map","No map.NA"
"1850","P085375","intermediate outcomes intermediate outcome indicators intermediate outcome monitoring component component component district provincial villages developing identifying governments community action plans institutional capacity coherent institutional capacity building plan support building approaches arrangements support adoption mainstreaming improved scaling improved water pamsimas approach progress additional support sanitation hygiene achieving objectives required regulations behaviors rural peri actual project district wss expenditure advocacy performance urban communities percentageo budget incentives achieve mdg goals disincentives","SDG 6","SDG 6.2"
"1851","P085375","internal audit igs mpw conduct inclusion internal audit activities internal control reviews project activities cost project cost","SDG 10","SDG 10.6"
"1852","P085375","internal control internal audit project strengthened internal audit arrangements conducted ig bpkp regular quarterly intervals separate project expenditure","No map","No map.NA"
"1853","P085375","internal controls systematic review performance cfts dpmcs ensure integrity","No map","No map.NA"
"1854","P085375","internal controls accountability implementation district village level reviewed internal audit arrangement bpkp","SDG 10","SDG 10.6"
"1855","P085375","international research demonstrated return investment improved wss consistently","SDG 9","SDG 9.5"
"1856","P085375","intersectoral cooperation critical sustainability","SDG 12","SDG 12.8"
"1857","P085375","intervention executing agency mpw sector accordance provisions regulation","No map","No map.NA"
"1858","P085375","introduction objective project support development sustainable nationwide program improve water access sanitation hygiene mainstreaming scaling wslic water supply sanitation low income communities model","SDG 6","SDG 6.2"
"1859","P085375","isolated vulnerable peoples prevalent project sites found districts provinces","SDG 10","SDG 10.7"
"1860","P085375","isolated vulnerable peoples term officially indonesian government describe characteristics indigenous peoples op","SDG 10","SDG 10.7"
"1861","P085375","anticipated ultimately coverage effectiveness market supply enable total sanitation approach sustainable local market mechanism incontrast water supply development requires technical knowledge sanitation hygiene interventions operate lower level individual mothers children poor households neighbourhds local health hygiene service providers","SDG 6","SDG 6.2"
"1862","P085375","bidding committees government system trusted terms competence integrity","SDG 16","SDG 16.10"
"1863","P085375","proposed seat pcsc secretariaflechnical team reserved waspolnampl","No map","No map.NA"
"1864","P085375","support preparation sectorwide approach annex","No map","No map.NA"
"1865","P085375","projects database banks external website","No map","No map.NA"
"1866","P085375","jakarta kalimantan timur sumatera utara jawa barat sulawesi utara riau jawa tengah gorontalo sumatera barat jambi","No map","No map.NA"
"1867","P085375","javanese iv presence customary social political institutions primarily subsistenceorientedproduction","No map","No map.NA"
"1868","P085375","joint outputs deliverables pamsimas national consultants funded credit international expertise funded grants collaborate waspolnamel delivering outputs activities directly contribute preparing swap cddwss indonesia gather disseminate global evidence research knowledge practice guide development sector wide program approach decentralized community driven water sanitation service delivery meet mdg targets","SDG 6","SDG 6.b"
"1869","P085375","joint preparation activities joint preparation activities envisaged waspoln ampl pamsimas","No map","No map.NA"
"1870","P085375","kdp experience baduy tribe west java highly adaptive practice","No map","No map.NA"
"1871","P085375","kepmenlwconcerning types businesses activities required complete zmpact al assessment defiies water sanitation systems metropolitan","SDG 6","SDG 6.2"
"1872","P085375","key project support overarching anticorruption effort include project management monitoring evaluation independent auditing disclosure raising awareness","SDG 13","SDG 13.3"
"1873","P085375","kppn mpw moh moha finance units maintain budget realization records card specifically project","No map","No map.NA"
"1874","P085375","labor land valued considered communitys inkind contribution","SDG 15","SDG 15.3"
"1875","P085375","lack standard costmase information makes difficult determine reasonableness original estimate owner estimate capacity independent judgment experts hired procurement evaluation process","SDG 16","SDG 16.7"
"1876","P085375","lack attention issues project promotes ownership districts replication expansion graded incentives establish apbdfunded project approach target pamsimaslike program lg driver seat project life encouraging local governments pay attention sustainabilitv issues","No map","No map.NA"
"1877","P085375","lampung jakarta kilometers serang sea aru","No map","No map.NA"
"1878","P085375","land acauisition resettlement involuntary resettlement undertaken project","No map","No map.NA"
"1879","P085375","land acquisition resettlement involuntary resettlement undertaken project","No map","No map.NA"
"1880","P085375","land acquisition andfor resettlement construction water sanitation infrastructure involve minor land acquisition","SDG 6","SDG 6.2"
"1881","P085375","land asset acquisition minimum person physically displaced project","SDG 15","SDG 15.3"
"1882","P085375","land asset acquisition minimum","No map","No map.NA"
"1883","P085375","legislative regulatory framework legislative regulatory framework changed significantly enactment laws decentralization fiscal balance uu","No map","No map.NA"
"1884","P085375","lending instrument gohas expressed consolidation mainstreaming initiatives wss sector specific investment loan sil type credit pamsimas bridging step eventual sectorwide program approach achieve wss mdgs","SDG 17","SDG 17.5"
"1885","P085375","lessons learned wslic pmac significant voice selection cf responsibility outpudoutcomes","No map","No map.NA"
"1886","P085375","lessons learned wslic wslic projects successfully supported total communities districts","No map","No map.NA"
"1887","P085375","lessons learned reflected project design review lessons learned earlier wss projects held project file annex details","No map","No map.NA"
"1888","P085375","limitations mainstreaming scaling","No map","No map.NA"
"1889","P085375","lingga samarinda manokwari biak padang palu sorong balikpapan peleng obi nt siberut jambi bangka aw pangkalpinang sulawesi misool yapen jayapura sumatera palangkaraya sula","No map","No map.NA"
"1890","P085375","loan equity quasi partic","No map","No map.NA"
"1891","P085375","local capacity building outset project implementation district annual basis institutional capacity assessments undertaken consultation key stakeholders district subdistrict level determine training human resource project implementation","SDG 13","SDG 13.3"
"1892","P085375","local government administrations local legislative bodies testing newfound autonomy delivering water supply sanitation services priorities","SDG 6","SDG 6.2"
"1893","P085375","local governments exhibit progressively commitment sustainability scaling implementing complimentary programs wss pamsmas methodology","SDG 12","SDG 12.8"
"1894","P085375","local governments participate institutionalizing cddwss approach sharing costs wss service delivery","SDG 6","SDG 6.3"
"1895","P085375","local governments participate reviewing progress journalists","No map","No map.NA"
"1896","P085375","local schools communities ensure supplies provided selection beneficiary communities dpmu accordance agreed targeting formula procedures","SDG 12","SDG 12.3"
"1897","P085375","low aualitv consultants emploved bv proiects due independent judgment officials involved decision procurement actions","SDG 16","SDG 16.7"
"1898","P085375","low capacity dghs dg carwing selection consultant contracts low capacity districthrovincial governments supervising implementation communitv contracts dghs dg dceh experience selection consultants bank guidelines capacity sustained","SDG 12","SDG 12.1"
"1899","P085375","low participation women poor connected capacity facilitator provide vulnerable people participate","SDG 5","SDG 5.5"
"1900","P085375","plans scale capacity access monitoring cover villages supplementing pamslmas resources","SDG 17","SDG 17.1"
"1901","P085375","main activities fimded program provincespecific analytical studies sanitation market potential consumer preferences supplier capacity provinces central guidance facilitationof linkages betweenrural consumerdclientsand providers sanitation hygiene services sanitation awareness hygiene promotion campaigns provinces including revitalizing sanitation clinic programimplemented puskesmas sanitarians","SDG 6","SDG 6.2"
"1902","P085375","mainactivities central level","No map","No map.NA"
