"Project","Text","Target"
"100000","expected reforms support gender equality empowerment increasing female employment water service provider reducing waterrelated costs collection time presently fall disproportionately women girls","Water"
"100000","chennai water crisis insufficient rainwater suboptimal harnessing runoff current science vol january","Water"
"100000","complexity variation institutional arrangements performance challenges service delivery illustrated discussion essential urban services water supply sewerage wss urban mobility municipal swm public health care water resource availability supply sewerage","Water"
"100000","pap actions recommended address provide regular training staff maintaining town village sewage treatment facilities focusing ohs es impacts poor om establish monitoring reporting mechanisms meaningful public participation grm strengthen information documentation management program social risk management","Water"
"100000","demonstration subbasins spread counties municipalities","Water"
"100000","fragile soils loess plateau middle reaches river vulnerable erosion contributing percent rivers sediments","Water"
"100000","government program establishes comprehensive crosssectoral development framework coastal marine sectors regions cooperate maximize benefits sustainable marine coastal assets","Water"
"100000","government strengthen monitoring shoreline remote sensing technology support coastal planning changing climate","Water"
"100000","governments halieutis strategy identified aquaculture subsector growth potential international domestic demand seafood steadily growing","Water"
"100000","indicator assesses progress conserving marine coastal improve fish stock management","Water"
"100000","indicator measures technical total coastal forest reports restored program technical summary including field coastal forests activities accordance annual reports coastal forest anef data ndc pledges restoration activities restoration priorities restore climate resilience","Water"
"100000","indicator measures projects benefitted aquaculture description advice technical assistance anda formulation investment project notwithstanding date authorization aquaculture farm","Water"
"100000","indicator measures bylaws anda reviews led women annual anda aquaculture incorporation ownership page farms led women documents management established responsibilities operational documents confirm leadership support anda describing women management structure entities responsible aquaculture farms","Water"
"100000","engineering design roadworks includes detailed hydrology study design parameters adopted ensure protection identified flooding risks","Water"
"100000","economic losses caused drought percent flooding percent","Water"
"100000","phase program initiated shimla banksupported dpl contributed million financing address water crisis issues","Water"
"100000","blue revolution scheme closed march continued effort address sector challenges double fishers fish farmers income goi driven low intensity smallsize aquaculture","Water"
"100000","constitution pmu divisions market insurance scheme banking sector awareness outreach division headed deputy project director insurance cells fisheries aquaculture due diligence cell primarily promoting market insurance scheme ii financial sector fisheries literacy cell financial institutions promote credit linkage fisheries sector enterprises coordination division responsible ensuring coordination regional offices nfdb respective statedistrict fisheries department officials finance procurement division cells finance procurement cell ii cell","Water"
"100000","fundeb legislation mandates revenues collected main municipal taxes set resources redistributed school networks municipal based student enrollment equalization","No map"
"100000","gob implementing systematic approach recover covid impacts human development","No map"
"100000","fpa family protection accessible victims","No map"
"100000","fpa protection accessible victims family sexual violence","No map"
"100000","frequency moderate intensity tropical cyclones decline increase wind speeds category cyclones projected surge","Climate adaptation"
"100000","fulltime time epm staff assigned dowh epm progress training gopngdow staff mentor transfer skills annual monitoring dowh epm reports contractors key support staff develop reporting skills expertise including page papua guinea resilient transport project procurement financial management environment gender social development maintenance planning maintenance contract supervision road safety opbrc contracting","No map"
"100000","information road characteristics assumption traffic table","No map"
"100000","generated traffic assumed percent sections ramu section","No map"
"100000","government counterparts weak capacity financial management fm proactive environmental social risk management safeguards lengthy intricate public procurement processes pose significant challenges effectiveness sector institutions","Climate adaptation"
"100000","grant agreement executed delivered behalf borrower","No map"
"100000","grant agreement executed delivered behalf recipient","No map"
"100000","grant agreement include provision retroactive financing amount payments project eligible expenditures incurred signing date grant agreement project april","No map"
"100000","grm process promoted communities proximity project sites ensure mechanism understood individuals opportunity provide feedback complaints project impacts workforce","No map"
"100000","grm feedback continued improvement projects","No map"
"100000","grm stipulate service standards progress epm monitoring grievances responded ensuring project annual dowh epm reports reporting stipulated service standards timely responses citizen feedback grievances","No map"
"100000","grs ensures complaints received promptly reviewed address projectrelated concerns","No map"
"100000","hazard assessment identify risks damage pipeline mitigated design andor preventative measures construction","Climate adaptation"
"100000","highlands average rainfall reach mm history severe floods","No map"
"100000","highway supports mining agroindustrial activities region specifically beef sugar palm oil production","No map"
"100000","highway supports mining major agroindustrial activities region specifically beef sugar palm oil production extensive domestic cocoa production","No map"
"100000","hiritano highway connects countrys capital port moresby capital gulf region kerema","No map"
"100000","hybrid contract elements traditional roadworks contract bill quantities boqunit prices opbrc reflects balancing contractual risk employer contractor","No map"
"100000","hybrid opbrc includes initial repairsimprovement coastal valley section rehabilitation portions valley section poor condition output performancebased maintenance","No map"
"100000","hybrid opbrc operates similar designbuildmaintain dbm contract","No map"
"100000","dsce articulated vision strategy period","No map"
"100000","effort cautiously similar attempts countries africa worldwide taking stock key lessons learned correct identified missteps fundamental risk mitigation measure","Climate adaptation"
"100000","esia component brt corridor infrastructure prepared consulted disclosed december","No map"
"100000","esmf focuses activities components locations defined project implementation infrastructure improvement selected feeder roads public space improvements brt stations","No map"
"100000","esmf cleared disclosed december","No map"
"100000","esmf guidance environmental assessment investments extended ta included project","No map"
"100000","esmp identifies categories measures mitigation measures consist environmental protection measures allowing reduce direct effects road construction ecosystems socioeconomic environments ii compensation measures unavoidable negative impacts brt lane construction iii positive impact enhancement accompanying measures proposed positively influence patterns road infrastructure improve social economic conditions populations served","Climate adaptation"
"100000","exact amount modalities assessed ifc advisory ppp structuring phase","No map"
"100000","exact content investment packages formulated stations pilot investment selected development plans finalized","No map"
"100000","fastpaced population growth cameroon allowed notable urbanization rate stands subsaharan peers","No map"
"100000","final selection station pilot investments formulation stationarea development plans follow participatory process articulated charettetype workshops engage informal formal private sector actors residents people disabilities womens associations public transit users define specific investments support inclusive local economic development design construction supervision pilot investment packages brt stations identified stationarea development plans pilot demonstration","No map"
"100000","financial analysis carried project conduct detailed analysis potentially viable fare structures ensure competitiveness affordability perspectives operator users","No map"
"100000","fleet renewal public transport providers climate change mitigation measure directly reduces ghg emissions improves resilience sector","Climate mitigation"
"100000","fm residual risk deemed moderate","No map"
"100000","fm procedures manual pdvir standardized fm manual procedures developed caa world bank idf support customized reflect specificities project","No map"
"100000","additional measures undertaken project effective standardized fm manual procedures developed caa world bank idf support customized reflect projects specificities accounting software configured ppa parameterized handle accounting reporting project accountant designated cud recruited terms reference tor acceptable world bank staff inspectorategeneral services inspection gnrale des services designed fulfill internal audit function project dedicated internal auditor conduct expost reviews page douala urban mobility project project transactions procedures ensure identified weaknesses addressed satisfactory manner external auditor recruited conduct annual financial audit financial statements project review internal control system","Climate mitigation"
"100000","forecasted daily ridership brt passengers served fleet articulated buses feeder routes","Climate mitigation"
"100000","format ifr agreed negotiations","No map"
"100000","composition psc detailed pim","No map"
"100000","composition psc detailed project implementation manual pim","No map"
"100000","global shift urban sprawl inclusive transit oriented development tod applied improve urban mobility african cities","Climate mitigation"
"100000","government budgeting process calendar disseminated project team align project budget preparation timeline national budget","No map"
"100000","government local central levels benefit institutional reform capacitybuilding activities preparation implementation stages","No map"
"100000","grs ensures complaints received promptly reviewed address project related concerns","No map"
"100000","impact projects lowcarbon mass transit system climate change mitigation significant compared project scenario brt cut ghg emissions due transport douala minimum percent projects lifetime","Climate mitigation"
"100000","impacts poverty exacerbated rates inequalities","No map"
"100000","integration esmp civil bidding document mees commitments environmental social commitment plan","No map"
"100000","integration esmp civil bidding document mees commitments escp","No map"
"100000","involvement regional elected officials participatory manner expanded roles regions decentralization ensured participation representatives local governments including regional council oriental stakeholders including private sector civil society including wilaya oriental cri oriental","No map"
"100000","iva confirm technical achievement indicatorspbcs amount eep incurred","No map"
"100000","iva prepare results verification report shared ministry finance world bank","No map"
"100000","key procurement risks identified include review sample contracts shown delays awarding infrastructure contracts","No map"
"100000","kingdom significant social economic progress political stability public investments institutional sector reforms","No map"
"100000","considered major connectivity investment triggered sizeable economic benefits hinterland","No map"
"100000","assigned entity charge auditing gom programs line countrys financial audit arrangements financial management team carried comprehensive assessment igf complemented pefa annual review performance entity","No map"
"100000","sets resilient inclusive sustainable territorial development strategic pathways achieve growth ambition formulated","No map"
"100000","limited size existing private sector emerging industrial sector undermine rapid organic development dynamic northeast region","No map"
"100000","line item budget projectprogram title funds earmarkedringfenced project","No map"
"100000","list reviewed world bank esms subsequently developed smes related activities pbcs sufficient detail implementation","No map"
"100000","list eligible expenditures detailed pom table table","No map"
"100000","loan funds transferred treasury account central bank bank al maghrib managed treasury kingdom tgr project designated account","No map"
"100000","main environmental risks include vegetation clearing earth producing volumes excess material generation construction waste river crossings dust noise vibration extraction natural construction materials operation camps","No map"
"100000","main objective capacity assessment determine ias capacity adequately carry procurement function project","No map"
"100000","main procurement packages include procurement road construction maintenance contracts including laborintense performancebased contracts consulting firms required provide technical assistance implementing agencies mediumsize nonconsulting contracts","No map"
"100000","main risk lies relative lack experience specific implementing agencies procedures world bank additional adequate human resources","No map"
"100000","main risks lie complex design project simplified extent projects integrated nature","No map"
"100000","major procurement activities project include procurement contracts improvement road infrastructure potentially contracts ranging million road construction rehabilitation maintenance total amount million laborintensive contracts road maintenance total amount million","No map"
"100000","majority species identified local species distribution road","Biodiversity"
"100000","market qualified experienced bidders","No map"
"100000","mechanism includes threestep process reception diverse entry national platform wwwchikayama phone letter inperson categorization treatment grievances aims resolve grievance day period","No map"
"100000","economy paran severely affected covid pandemic","No map"
"100000","effectiveness consultations monitored share representatives vulnerable social established institutional instances indigenous peoples traditional communities council consultation deliberation relevant programsthematic reporting satisfaction engagement process","No map"
"100000","effectiveness system hampered lack geospatial mapping highresolution spacetime stochastic models federal university santa catarina","No map"
"100000","efficiency innovative agenda basis implementing priority program supported world bank","No map"
"100000","efficient management natural resources environmental licensing process critical achieving parans economic environmental goals","Biodiversity"
"100000","efforts updating registry information valuation legal documentation expected generate savings rental space fuel property maintenance free properties government auctions current holdings vehicles properties","No map"
"100000","eligible hospitals participate program municipal","No map"
"100000","emergency care network national council health departments conass maternal child care network me paranaense national international events","No map"
"100000","transparency patients adults target refers prior portal children results","No map"
"100000","entire operational arrangement transfer resources detail pom","No map"
"100000","environment externality core human health","No map"
"100000","environmental social issues proposed actions","Climate adaptation"
"100000","environmental licenses water rights licenses issued investments brl billion paran fines resulting environmental infractions brl million","Water"
"100000","es risk ratings ipf component moderate","No map"
"100000","es risks activities included pforr component classified moderate","No map"
"100000","essa concludes borrowers implementing agencies experiences developing programs projects level complexity relevant track record es issues","No map"
"100000","essa assessed risks potential adverse impacts pforr program concluded predictable temporary andor reversible","No map"
"100000","essa concludes pforr component developed legal regulatory environment significant certainty jurisdiction implementing agencies enjoy stability strong oversight judicial extrajudicial bodies including mass media public opinion","No map"
"100000","essential musthave features wellfunctioning public investment system include investment guidance project development preliminary screening ii formal project appraisal iii independent review appraisal iv project selection budgeting project implementation vi project adjustment vii facility operation viii project evaluation","No map"
"100000","establishment investment committee critical step putting modern system preparation public investment projects","No map"
"100000","exact annual preparation progress regulations manuals database outputs starting status","No map"
"100000","execution rate investments averaged percent","No map"
"100000","execution rate public investment spending percent reflects weaknesses project preparation delays preparing technical specifications bidding documents","No map"
"100000","expected economic gain individuals saved multiplied productive life minus average gdp capita","No map"
"100000","expected economic gain life saved additional lived individual discharged hospitals multiplied average annual earnings pnadc","No map"
"100000","federal constitution laws combat fraud corruption define categories misconduct provide sanctions suspension political rights removal public office freezing assets financial compensation damages caused public treasury personal firms","No map"
"100000","federal framework laws regulations procurement solid transparent public officials private sector","No map"
"100000","potential negative risks impacts proposed pforr component predictable temporary andor reversible","No map"
"100000","fiduciary risk substantial program funded budget lines requiring monitoring considerable amount information governments units systems","No map"
"100000","final version sep labor management procedures disclosed days program effective date","No map"
"100000","final version sep incorporate feedback consultation process","No map"
"100000","financial execution budget lines carried executing units routine procedures federal laws regulations applicable","No map"
"100000","financial statements program consist unaudited interim financial reports ifrs semester final semesters ifr serving programs annual financial statement","No map"
"100000","financing covid clinical intensive care beds treatment patients infected sarscov","No map"
"100000","findings assessment reflect comprehensive fm review potential implementing municipalities demonstrated sufficient fm arrangements decentralized level ensure budget decentralized funds properly accounted documented follow operations agreed fiduciary arrangements","No map"
"100000","draft sep disclosed sepl website march","No map"
"100000","fiscal pressure brought covid pandemic revealed undertake strategic real estate asset assessment examine current future real estate public sector alternative options subcontracting transport maintenance services consolidation real estate including rental options continued sale unused properties public auctions human resource management","No map"
"100000","flow funds decentralized level municipalities health budget lines fundtofund fundo fundo mechanism health secretariat art complementary law january complementary law december establishment funsaude resolution dictates controls fundtofund faf transfers annual resolutions sesa","No map"
"100000","danube water program financed development piloting tools support sector modernization efforts envisioned project","Water"
"100000","das linked ibrd loan denominated currency loan selected borrower eur das seco grant denominated usd","No map"
"100000","development functional utility benchmarking system wss sector integrated subcomponent project design","Water"
"100000","development partner include world bank secretariat economic affairs swiss federal government seco european union swiss development cooperation swedish international development cooperation agency partners active sector coordination meetings inclusive active development partners","No map"
"100000","difference gross emissions baseline emissions represents projects net emissions","Climate mitigation"
"100000","disbursement methods direct payment reimbursements advances","No map"
"100000","disbursement methods direct payments reimbursements advances","No map"
"100000","dleap regional integrated sustainable capacity building initiative national water utility associations comprehensive curriculum staff water wastewater utilities danube region","Water"
"100000","document underscores urgency tackling sectors performance footprint emphasizes critical invest sectors governance","No map"
"100000","dwp aims strong utilities smart policies sustainable services sector serving million customers danube region","No map"
"100000","dwp vehicle engaging sector issues bih countries region","Water"
"100000","dwp developed piloted specific tools ready support bihs sector modernization efforts","Water"
"100000","dwp regional technical assistance page bih water sanitation services modernization project capacity building program funded austrian government implemented partnership world bank international association water utilities danube region iawd","Water"
"100000","economic analysis carried selection representative subprojects batch local governments lgs water utility companies wus qualified investments component","Water"
"100000","economic social impact covid poverty household welfare english","No map"
"100000","ee project citluk implemented financial reasons provide cost savings investments","No map"
"100000","employment individual expert conducted selection independent consultants accordance procurement regulations","No map"
"100000","target determined investments selected implementation","No map"
"100000","energy efficiency project citluk positive effect user fees project carries significant cost savings","Circular economy"
"100000","entities developed respective initial procurement plans entire project consistent implementation plan provide information procurement packages potential selection processes methods world bank review requirements","Circular economy"
"100000","entity ministries agriculture water management forestry establishing unified framework tariff setting regulatory functions","Water"
"100000","entityspecific procurement plans updated annually required reflect actual project implementation improvements institutional capacity","No map"
"100000","environment social framework serve screening tool subprojects","No map"
"100000","environmental impacts assessed include construction specific impacts dust noise ohs land waste management potential hazardous materials asbestoscement pipes chance pipe networks procurement management disposal chemicals water supply treatment odor noise wastewater treatment plants sludge page bih water sanitation services modernization project management facilities","Pollution prevention"
"100000","environmental impacts assessed include constructionspecific impacts dust noise occupational health safety ohs land waste management potential hazardous materials asbestoscement pipes chance pipe networks procurement management disposal chemicals water supply treatment odor noise wastewater treatment plants sludge management facilities","Pollution prevention"
"100000","esmf screen highrisk project activities ineligible financing project","No map"
"100000","document highlights efficient administration pillars gom budget current mandate","No map"
"100000","effective roll lof key enhance public spending efficiency effectiveness times page morocco public sector performance ennajaa program economic crises drop public revenue","No map"
"100000","effective roll lof key enhance efficiency effectiveness public spending times economic crisies drop public revenue","No map"
"100000","emphasis key components government program ongoing public sector reforms circled red figure crosscutting climate change gender citizen engagement circled green","Climate adaptation"
"100000","emphasis key components government program ongoing public sector reforms circled red figure crosscutting climate change gender citizen engagement circled green","Climate mitigation"
"100000","ennajaa pforr includes ras","No map"
"100000","ennajaa pforr supports critical goms reform program line ndm priorities","No map"
"100000","ennajaa pforr finance approximately percent goms supported program expenditures","No map"
"100000","ennajaa program center goms stated priorities preserve financial balance strengthen performance public services","No map"
"100000","ennajaa program procurement executed accordance goms procurement procedures regulatory framework","No map"
"100000","ennajaa program incentivize balance categories indicators efficiency indicators uptake simple qualitative performance indicators including set homogeneous prioritized uniformed indicators shared ministries covered ennajaa respect support steering budget programs","No map"
"100000","ennajaa results chain designed bridge reform implementation gap","No map"
"100000","es focal cper stakeholders provide training awareness companies contracted","No map"
"100000","es technical manual integral program operation manual site monitoring tools es monitoring sheets anomaly sheets identify responsibilities monitoring sites methods frequencies reporting","No map"
"100000","essa focuses analysis legislative regulatory framework laws regulations procedures system defined capacity institutions concerned program effectively implement environmental social management systems system applied practice","No map"
"100000","essa identified significant environmental social risks related preparation construction operation phases activities supervised dgct implemented arep fesmeknes","Climate adaptation"
"100000","execution rate percent fesmeknes expenditures related cper due cper approved delay mef time region expenditure envelope","No map"
"100000","existence legal arsenal effectively manage aspects environmental social management program","No map"
"100000","existence specialized institutions capable managing environmental social aspects program","No map"
"100000","expenditures program planned government program mentioned included threeyear programming finance act","No map"
"100000","expenditures planned programmed detail budget law","No map"
"100000","external audit reports confirm total expenditures incurred achieve dlis","No map"
"100000","figure registered organic law constitutes firm commitment vis vis vis regions","No map"
"100000","fesmeknes region budget period reviewed include portion cper satisfactory execution rate average percent period","No map"
"100000","fesmeknes region operational internal audit unit","No map"
"100000","fesmeknes region satisfactory payment rate percent","No map"
"100000","fesmeknes region internal control system require improvements","No map"
"100000","fesmeknes region regions signed cper period included program expenditure framework pef","No map"
"100000","fesmeknes region regions signed cper pilot region supporting implementation dli regionalization","No map"
"100000","fiduciary assessment revealed assignment operation igf combined wb pipeline operations translate increase activity team igf","No map"
"100000","financial statements include financial execution result data collected participating entities","No map"
"100000","budget governance framework genuinely focused performance accountability allowing move resourcesbased culture resultbased culture ensure public dirham usefully efficiently spent enabling public expenditure effectively play role fundamental lever economic social development","No map"
"100000","focal trained respect content manual","No map"
"100000","focus ra support gom adopting coordinated logically sequenced manner foundational strategic legalregulatory technical organizational building blocks data interoperability reuse framework enable public sector performance service delivery priority sectors","No map"
"100000","focus data timely access information law effect february includes provision requiring proactive disclosure public sector data","No map"
"100000","dlis program developed improve performance transparency government operations service delivery","No map"
"100000","gender gap remains","No map"
"100000","format defined mop","No map"
"100000","forthcoming comprehensive organic tax law makes domestic revenue mobilization priority","No map"
"100000","frequency intensity events projected increase century","No map"
"100000","funding region satisfactory terms predictability","No map"
"100000","funds flow arrangements program implementation adequate","No map"
"100000","gender budget report improved content form ongoing technical support women align provisions lof transform comprehensive tool monitoring gender aspect public policies","No map"
"100000","orientation note note dorientation gnrale nog recently adopted digital development agency ministry economy finance administrative reform ministre de leconomie des finances de la rforme de ladministration mefra official request world bank seeking financial support goms program","No map"
"100000","bank lead agency","No map"
"100000","bank provide pokja piu training experiencesharing provided committee","No map"
"100000","bank transfer initial deposit advance da based request ifr format include projection project months period project payment consultantcontractor","No map"
"100000","bbma mebidang subnational agencies responsible procurement brt bus fleet operations maintenance brt systems including bus fleet infrastructure publicprivate partnership arrangements","No map"
"100000","bbma brt mebidang brt expected influence include population million million","No map"
"100000","bbma brt design restricted streets width","No map"
"100000","bbma covers extent bandung basin includes tracts agricultural forest land","No map"
"100000","gain perspective local context direct consultation local stakeholders inclusiveness planning stage","No map"
"100000","brt construction operation indonesia including bandung medan metropolitan operated brt facilities advance brt operating jakarta metropolitan noting brt jakarta metropolitan developed provincial government dki jakarta included feeders system managed advance traffic management system mitigate congestion","Climate mitigation"
"100000","brt construction lead cancellation modification angkot routes","No map"
"100000","brt corridor passes close proximity medan railway station integrate commuter rail services","Climate mitigation"
"100000","brt design facade faade road organize street space sidewalks road safety environmental design","Climate mitigation"
"100000","brt infrastructure shape services reach center city","Climate mitigation"
"100000","brt network extended include ring formed jl jamikapetabkrpelajar pejuaranglaswi southeast region jl jendral gatot subroto kiaragondong","Climate mitigation"
"100000","brt service proposes connect adjoining agglomerations sunggalbinjai city west tanjung morawalubuk pakam east","Climate mitigation"
"100000","brt services costed idr buskm compared conventional buses idr buskm","Climate mitigation"
"100000","brt overlap future lrt northsouth line jalan bkr interchange facilities provided ensure easy transfer","No map"
"100000","budget project included dglts budget documents dipa","No map"
"100000","change congestion cost estimated estimating net change speed result reduction pt vehicles angkots corridor combined reduction road capacity result converting traffic lanes segregated busway relevant","No map"
"100000","cities invested mass transit jakarta bandung public transport modal share percent","Climate mitigation"
"100000","commitment operation maintenance responsibility related deficits brt sng crucial systems successful operation","No map"
"100000","composition costs benefits summarized table","No map"
"100000","consortium contracted gross cost contract transsemarang special service delivery unit","No map"
"100000","contract proposed gross cost model variants revenues managed page indonesia mass transit project government soe private operator paid services performed incentives","No map"
"100000","borrowers institutional capacities adequate current volumes applications","No map"
"100000","budget estimates provided based actual amounts disbursed program inception","No map"
"100000","capacity exists poland","No map"
"100000","capp list indicators targets","No map"
"100000","capp list indicators targets","No map"
"100000","capp introduce provision subsidy levels low income sfb owners unable access cofinancing join program","No map"
"100000","capp supports governments ambitions reduce energy poverty subsidy levels lowincome households energy saving thermal modernization","No map"
"100000","capp applications include description appeals procedure regulations call applications capp cofinancing online httpswwwgovplwebgovskorzystajzprogramuczyste powietrze","No map"
"100000","capp deploys system subsidies tax incentives targeted loans million sfbs replace solid fuel boilers implement thermal retrofits","Climate mitigation"
"100000","capp expenditures aggregated cost lines regular financial statements separate capp expenditures","No map"
"100000","capp grant pln basic grant level pln increased level funding equivalent","No map"
"100000","capp strong strategic rationale tackles critical issues air quality energy security climate change mitigation due energy consumption pollution heating sources sfbs","Climate mitigation"
"100000","capp multiple structured interfaces established facilitate engagement beneficiaries public stakeholders systematic structured manner publicly information feedback mechanisms consultative processes","No map"
"100000","capp sought engage citizens stakeholders program reforms","No map"
"100000","capp includes tracks poland costoptimal report incomplete existing buildings estimated costoptimal energy performance levels sfbs","Climate mitigation"
"100000","capp aimed owners coowners sfbs separate land register considered private sector entities","No map"
"100000","capp financed wfoigws sources offer loans cover incremental operating cost capp","No map"
"100000","capp implemented nfoigw","No map"
"100000","capp managed nfoigw moce implemented regional funds environmental protection water management wfoigws","Water"
"100000","capp direct response covid implementation","Pollution prevention"
"100000","capp wellaligned eu priorities noted suite transposed energy efficiency directives strategy documents necp air quality standards domain tackling energy poverty","Pollution prevention"
"100000","capp maintains central phone line nfoigw wfoigws play central role terms sharing information capp receiving complaints program operations","Pollution prevention"
"100000","capp expedite negotiations banks enable start offering loans sfb owners","Pollution prevention"
"100000","capp procedures include submission contract documents payment claim sample verification oversight respective wfoigw","Pollution prevention"
"100000","capp direct response covid implementation","Climate mitigation"
"100000","capp wellaligned eu priorities noted suite transposed energy efficiency directives strategy documents necp air quality standards domain tackling energy poverty","Climate mitigation"
"100000","capp maintains central phone line nfoigw wfoigws play central role terms sharing information capp receiving complaints program operations","Climate mitigation"
"100000","capp expedite negotiations banks enable start offering loans sfb owners","Climate mitigation"
"100000","capp procedures include submission contract documents payment claim sample verification oversight respective wfoigw","Climate mitigation"
"100000","capp increased subsidies lowerincome households government programs designed assist lowestincome households","No map"
"100000","capp partial subsidies tax relief support sfbs thermally retrofit homes replace outdated inefficient heating systems efficient relying cleaner fuels","Pollution prevention"
"100000","capp announced pln billion program serve estimated million sfbs rely polluting fuels space heating","Pollution prevention"
"100000","capp partial subsidies tax relief support sfbs thermally retrofit homes replace outdated inefficient heating systems efficient relying cleaner fuels","Climate mitigation"
"100000","capp announced pln billion program serve estimated million sfbs rely polluting fuels space heating","Climate mitigation"
"100000","capp launched september planned implemented commitments signed signing contracts capp beneficiaries december funds disbursed september","Climate mitigation"
"100000","capp launched september program improve air quality reduce ghg emissions replacing heating systems improving energy efficiency sfbs","Climate mitigation"
"100000","capp launched september planned implemented commitments signed signing contracts capp beneficiaries december funds disbursed september","Pollution prevention"
"100000","capp launched september program improve air quality reduce ghg emissions replacing heating systems improving energy efficiency sfbs","Pollution prevention"
"100000","capp simplified increase attractiveness population","No map"
"100000","capp mobilize commercial financing spur private sector","No map"
"100000","capp substantially reduce coal unsustainable firewood households living sfbs raise energy efficiency household boilers generating significant air quality health cobenefits","Pollution prevention"
"100000","capp substantially reduce coal unsustainable firewood households living sfbs raise energy efficiency household boilers generating significant air quality health cobenefits","Climate mitigation"
"100000","cba track record identification tax customs frauds corruptive practices government institutions","No map"
"100000","economic analysis impact project interventions period","No map"
"100000","economic analysis wds model deployed education system significant increase earnings child caregivers","No map"
"100000","economic analysis costbenefit economic model account gains wds","No map"
"100000","economics international differences educational achievement","No map"
"100000","effect fatherhood employment hours variation birth timing marriage coresidence","No map"
"100000","effect primary school size academic achievement","No map"
"100000","effects school days mothers labor force participation","No map"
"100000","eligible time period retroactive financing defined financing agreement prior signing date","No map"
"100000","environment climate change factors considered rehabilitation school infrastructure","Climate adaptation"
"100000","environmental social commitment plan includes finalization consultation redisclosure esmf days loan agreement effective date finalization redisclosure sep days loan agreement effective date","No map"
"100000","esmf includes labor management plan lmp details specific guidance worker occupational health safety ohs measures safety students teachers visitors implementation community safety rehabilitation adaptation carried regular school operation activities","No map"
"100000","estimates based assumptions including student gains pisa learning schools closed months average pandemic remote teaching country half effective facetoface teaching","No map"
"100000","estimation cost mind real data costs obtained ministry","No map"
"100000","existing financial management arrangements mse assessed determine arrangements budgeting accounting reporting internal control staffing funds flow audit satisfactory world bank","No map"
"100000","expected civil minimal limited rehabilitation adapting equipping schools location neighboring disposition geographic spread","No map"
"100000","expenses related disbursements consultancy nonconsultancy services incremental operating expenses documented statements expenditure","No map"
"100000","experience public outreach stakeholder consultation mse gained implementation curriculum reform underway informed stakeholder mapping analysis locations implementation phase wds reform decided calls proposals schools","No map"
"100000","financial management sections pom drafted describe mse financial management arrangements","No map"
"100000","financial management specialist signs invoice certify shehe checked accuracy financial data","No map"
"100000","financial management specialist procurement specialist verifies financial provisions complex contracts","No map"
"100000","findings feedback stakeholders inform project design","No map"
"100000","fm arrangements rely borrowers existing institutions croatia sustainable equitable efficient education project education systems extent due consideration capacity","No map"
"100000","fm assessment informs questions listed table","No map"
"100000","discos host career awareness outreach female secondary school students stem university students change gender norms encourage women careers energy sector ii diversify training hiring technicalengineering ict related positions iii implement policies facilities recruit retain women employees","No map"
"100000","distribution grid code requires discos transmission network connected supervisory control data acquisition scada considered backbone modern electric utility discos started implementation","No map"
"100000","distribution sector challenging jobs fieldbased line construction maintenance positions","No map"
"100000","economic analysis based conservative estimation benefits benefits increase economic return","No map"
"100000","economic life assets assumed transmission distribution equipment","No map"
"100000","edeip aligned wbgs country partnership strategy cps pakistan fy","No map"
"100000","edeip consistent gops national electricity policy nep","No map"
"100000","edeip designed support discos investment physical infrastructure improvement operational performance","Climate adaptation"
"100000","eirr abc component circles adding benefits transformer monitoring system shown table","No map"
"100000","emission factors analysis table net greenhouse gas ghg emissions table","Pollution prevention"
"100000","emission factors analysis table net greenhouse gas ghg emissions table","Climate adaptation"
"100000","environmental risks impacts typical electricity distribution system include typical construction related issues air emissions released construction machinery vehicles generation blown dust caused excavations running project vehicles unpaved roadstracks soil water contamination caused release contaminants worksites discharge domestic sewage waste waters temporary facilities limited clearing natural vegetation trees occupational health safety ohs risks construction site specific risks heights noise vibrations lifting operations overheard services","Pollution prevention"
"100000","escp agreed negotiations includes commitments implement esmf lmp sep rf project implementation","No map"
"100000","esmf includes process integrate environmental social considerations project es instruments","Pollution prevention"
"100000","establishment iso mo involve organizational restructuring ntdc cppa mo function cppag system operator function ntdc restructured separate legal entities","No map"
"100000","establishment iso establish marginal prices trading including settlement imbalances mo involve organizational restructuring ntdc cppa mo function cppag function ntdc restructured separate legal entities","No map"
"100000","event attended senior management discos including panel discussants hesco iesco lesco pesco","No map"
"100000","existing fm staffing selected discos account financial transactions generate financial reports","No map"
"100000","expected benefits substantial project remains viable delays highly","No map"
"100000","fesco transaction ahead transactions reached past road stage private parties deposited initial expressions fesco privatization","No map"
